,replyContent,score,content,thumbsUpCount
10,"Hi Nurhartini, we'd love to check on this for you. Could you please reach out to us via our 24/7 hotline at (+65) 3105 2055? We'll be more than happy to look into the matter.🙏",1,They unable to process my application. 4x attempt,0
11,"Hi AK Ong. We're sorry to hear that you are having issues accessing your account, and we would love to sort this out for you. Please get in touch with us at help@gxs.com.sg with a screenshot of the error along with your contact details, or call us at (+65) 3105 2055. We’ll be happy to help. Thank you. 🙏",1,Try logging in after logging out completely. Cannot see Singpass QR at all. How to log in again? Something wrong with new updates?,0
12,"Hi Vince. We're sorry to hear this and would love to sort this issue for you. Please get in touch with us at help@gxs.com.sg with a screenshot of the error, along with your contact details. Or call us at (+65) 3105 2055. We’ll be happy to help. Thank you.🙏",2,Fingerprint login no longer work since 2 months back.. all other bank apps doesn't have such issues.,1
13,"Hi Anna. We're over the moon to hear your positive feedback about our GXS Savings Account, specifically the Saving Pockets! It's always fantastic to know we're hitting the mark. We're constantly working on improving our services and your feedback is a valuable part of that process. Thank you for your support! 😊💜",4,"Love the function of having multiple pockets as it helps me to track each target accordingly. Thank you for the genius allocation! Would have given 4.5 if there was, with the 0.5 hoping for unlimited numbers of pockets. :"")",0
14,"Hi Jia Hong! We are happy that you like our app! This 5-star review made our day! 💜 We are thrilled to hear that you find our app easy to use and that you like the short-term loan feature! We're constantly working on new and exciting features, and we can't wait for you to try them out in the future.😍🚀",5,Quick transfers to bank acc and fast repayments. Very suitable for short term loans,0
15,"Hi EE, that's a fantastic suggestion and it's been captured as part of future enhancements! 🙌 We have been busy working on new and exciting stuff, and we can't wait for you to try them out in the future. 🚀",3,"A feature they should implement is to save your recipients which you FAST to, makes it a lot safer as it prevents mistaken sending of funds to unintended recipients after the 1st transfer.",12
16,Hi Baggio! Thank you for your 5-star review. 💜 We are thrilled to know that you like the app. 😍,5,Ok Good system.,0
17,Hi Velan! Thank you for your positive feedback and review. Rest assured we're continuously working hard on improving our product offerings and our GXS app. Feel free to reach out to us via email at help@gxs.com.sg or call at (+65) 3105 2055 if you have other suggestions. Thank you for your support! 🙏😊💜,3,good 👍,0
18,"Hi Yusri, we're sorry to hear this. To better address your concerns and provide further assistance, feel free to reach out to us at our 24x7 hotline at (+65) 3105 2055. We will be happy to help.💜
",1,Can not open,0
19,"Hi Aaro, thank you for your interest in our services. The FlexiLoan service is available only to Singaporeans and Singaporean PRs at this moment. There are no available slots for the Savings Account currently, but you may register your interest so we can notify you to come apply when slots are available.",1,Hi any chance for foreign to apply? Im work at sg,0
20,"Hi Sky, we're sorry to hear this. To address your concerns and provide further assistance, please do not hesitate to call our 24x7 hotline at (+65) 3105 2055. We will be happy to help. Thank you 🙏",1,"Really really damm time wasting, if not ready for sign up don't launch. Close down and don't let people wait for you, uninstalling now. Trust Bank is much better, CRAB!",2
21,"Hey Faizal, we're stoked to know that you like our app! 💜 Thanks for the 5-star review! 🤩",5,🥰🥰🥰,0
22,"Hey, Nad! Thanks for your kind words! Reviews and feedbacks like these are what keeps us going for our customers. 😉 You have our word that we’ll continue to introduce more features and will always strive to continuously improve our services!

If you need any help, feel free to reach out to us. We’ll be more than happy to assist you!",5,"Been using this bank for a while now and didn't face any major problems. What I enjoyed the most is the saving pockets area where we could create different pockets for each saving we want to do and even add goals into it. The 2.68% per annum is added daily (0.01) as long as you have a minimum of 150 in your savings. If not, you'll have to wait till your it accumulates up to 0.01 to be added. There was also cashback when you make payment using the card which I didn't know till recently.",0
23,Hi Jas! Thank you for your positive feedback and review. Rest assured we're continuously working hard on improving our product offerings. We have forwarded your feedback to our team. Feel free to reach out to us via email at help@gxs.com.sg or call at (+65) 3105 2055 if you have other suggestions. Thank you for your support! 🙏😊💜,4,"Great app that can park your savings using pockets, but hopefully the interest rate of the savings pockets will increase due to the current economic conditions",1
24,"Hi Benjamin. We're sorry to hear this. We love to sort this issue quickly for you. Please get in touch with us at help@gxs.com.sg with a screenshot of the error, along with your contact details. Or call us at (+65) 3105 2055. We’ll be happy to help. Thank you.🙏",1,"Unable to login or use the forgot password function. System only replied with ""something wrong please try again later"" Now I was told I must wait for the next version of app to be rolled out progressively before I can login. Hopefully won't take too long",4
25,Hey Adha! We appreciate your 5 stars review. This made our day! Thanks for taking the time to leave your feedback. 🚀💜,5,👍👍👍👍,0
26,"Hey, Iqbal! We are GXS Bank, currently for Singapore-based users. If you have any feedback, do get in touch with us at help@gxs.com.sg or call us at (+65) 3105 2055. As for GXBank-related queries, you may visit their site and reach out to them directly. 🙏",1,"Sorry to have said this, why not this gxbank through by gxbank for worldwide",0
27,"Hi Tony, thank you for your feedback! Just to share, your device is required to be passcode protected to ensure the safety of your account. 🔐 You will be able to access to app once your device is passcode protected to apply for our products and services! 💜",5,I don't set. A password in my phone n not allow me to down load this apps,0
28,"Hi Wei Jie! We love your enthusiasm! All GXS Savings Account slots have been taken up for now. We’re working to open new slots as soon as possible. For early access to new slots, register via the GXS app. While you’re here, have you checked out the GXS FlexiLoan yet? We appreciate your patience and can't wait to have you onboard with us! 🚀",2,When to sign up for the account in last year august. 5 months has pass still waiting. Please help to solve the issue.,0
29,"Hi Sairuldin! We're sorry to hear this. Could you get in touch with us at help@gxs.com.sg with a screenshot of the error, along with your contact details. Or call us at (+65) 3105 2055. We’ll be happy to help.🙏
",1,Why i cannot login?.,1
30,Hey Najmul! We appreciate your 5 stars review. 💜 We are thrilled to know that you like the app easy and user-friendly user interface. Thanks for taking the time to leave your feedback. We strive to serve you better! 🚀,5,Very good app,0
31,"Hi there. This is not the experience that we’d want you to have. We’d be happy to resolve this issue for you! Kindly contact our hotline at (+65) 3105 2055 or drop us an email at help@gxs.com.sg with your contact info, device model, and a screenshot of your issue so we can take a closer look into this. Thank you.🙏",1,I'm stuck on the singpass page without being able to proceed. All is updated to latest ver.,0
32,Hi WJ! Thank you for your 5 stars review! We have forwarded your feedback to our team. We're continuously working hard to add more features to make your experience better. Thank you for your understanding and support! Have a great day and happy new year! 🙏🤩💜,5,Love GxS bank. Would it be available on Google Pay as well? 😉,0
33,"Hey Quekyeong, sorry to hear that! Please get in touch with us at help@gxs.com.sg with your contact details, or call us at (+65) 3105 2055. We'll be happy to assist it.🙏",1,Cannot sig up,2
34,"Hey Chester, sorry to hear that! Please get in touch with us at help@gxs.com.sg with your contact details or call us at (+65) 3105 2055. We’d be happy to look into this for you. 🙏",3,Occasionally getting unable to login error.,0
35,"Hey Jahid! Thank you for your review. If you have any concerns or need assistance, feel free to reach out to us via our 24/7 hotline at (+65) 3105 2055. We’ll be happy to assist you! 💜",2,Well done,0
36,"Hi Mike! We're sorry to hear about your experience. We're continuously working hard on improving our product offerings. We love to help you resolve the app issue quickly. Kindly drop us an email at help@gxs.com.sg with your contact info, device model, and a screenshot of your issue so we can take a closer look into this. Have a great day! 😊🙏",1,"Buggy app, bad interest rate",2
37,Hi there! We are sorry to hear that you are having difficulty transferring your funds. We’d be happy to resolve this issue for you! Kindly contact our hotline at (+65) 3105 2055 or drop us an email at help@gxs.com.sg. 🙏,1,I am unable to log in today when i could yesterday. I cant transfer my money out to use. There is no alternative like physical counter or website so my money is stuck when i urgently need my money.,1
38,"Hi Aza, we are sorry to hear that you are having difficulty accessing the app. We have enhanced our anti-malware protection and customers will not be able to access the app if there is detection of security vulnerabilities in their device. Please call our hotline so we can assist you better.",1,What a nonsense app is this??download but say got malware in my hp?and ask me to fix my app?wth?,3
39,Hi Emirul! We appreciate your 5 stars review. 💜We're glad our GXS app is easy to use and we work hard to meet expectations like yours! 🤩,5,Easy and fast app,0
40,Hey Diana! We'd love to look into this. Please feel free to get in touch with us through our 24/7 hotline at (+65) 3105 2055 or drop us an email at help@gxs.com.sg with your contact number so we can reach out to you promptly. 🙏,1,could not open my gxs app,0
41,Hi Swee Seng! We’re sorry to make you feel that way! 🙁 We appreciate your valuable feedback and rest assured that it is an essential part of our continuous improvement process. Please do not hesitate to reach out to us at (+65) 3105 2055 or via our email at help@gxs.com.sg. 🚀,1,"Your phone cannot be used Lol, which part of my phone have been modified? Nvr root or anything This is something that should not even be released to the public when you can't even get device authentication working UPDATE: So they decided to just close my issue and deemed it as ""resolved"" when it isn't Dont ever use this pos software",6
42,"Hi there! Thank you for your review. If you have any concerns or need assistance, feel free to reach out to us via our 24/7 hotline at (+65) 3105 2055. We’ll be glad to help! 💜",1,Good,0
43,"Hi Muhd Rashid thank you for your kind words, we are glad our services live up to your expectations.",5,Easy loan and easy payment with no hassle.,0
44,"Hi Suvega! Thank you for your 5-star review! 🤩 We are thrilled to know that you're enjoying our daily interest crediting feature! 🚀 We appreciate you for taking the time to leave your feedback! 🙏
",5,Very good digital savings bank account that helps grow our funds.,1
45,Hi Elias! We appreciate your 5 stars review. 💜 We are thrilled to know that you like the interest rate we offer for our account! 🤩 Thanks for taking the time to leave your feedback! We strive to serve you better! 🚀,5,Great savings rate!,0
46,"Hi Hamzah! Thank you for your wonderful feedback. This review made our day! We work hard to meet expectations like yours, and we’re happy to hear we hit the mark for you.🙏🤩💜",5,Loving it so far.,0
47,Hi there! Thank you for your 5 stars review. 💜We are thrilled to know that you like the app easy and user-friendly user interface! We work hard to meet expectations like yours. Thank you and keep using our app!🙏🤩,5,Easy to use,0
48,"Hi Zhiying. We're sorry to hear about your experience. We’d be happy to resolve this issue for you! Kindly contact our hotline at (+65) 3105 2055 or drop us an email at help@gxs.com.sg with your contact info, device model, and a screenshot of your issue so we can take a closer look into this. 🙏",1,Couldn't use the app suddenly,0
49,Hi Amelia. Thank you for your feedback. We're continuously working hard on improving our product offerings and also adding more features to our app to make your experience better. Please get in touch with us via email at help@gxs.com.sg or call at (+65) 3105 2055. We’d be happy to hear your feedback on how we can do better! 🙏,1,Poor try attempted but still cannot . Terrible app....,0
50,"Hi Ken! 👋 We have forwarded your feedback regarding the add payee function to the team. We're continuously working hard to add more features to make your experience better. We thank you for your understanding and patience. 🙏
",1,"Few months have passed. And we still can't add favourite payee, etc. Can u guy really work on it",4
51,"Hi Arthur, thanks for reaching out. Rest assured, GXS Bank is a licensed bank with the Monetary Authority of Singapore. Let us know what can be improved. Please feel free to reach out to us at help@gxs.com.sg or (+65) 3105 2055. We'll be happy to assist with any of your questions or concerns. Have a great day! 😊🙏",1,Could be scam,0
52,"Hey Peishan, we're sorry to hear about your experience and appreciate you taking the time to share your feedback with us. 🙏 For us to assist you better, please reach out to us via email at help@gxs.com.sg or our 24/7 support hotline at 3105 2055. 👀",1,"I not be able to log in GXS bank today after I pay off my 1st outstanding loan. Is there a bug or hack? I hope my $ was offset for the loan. Even even I restart, power on off my phone, after updating the app, I unable to log in. When I log in with fingerprint, keep loading. Pls help.",5
53,"Hi there. We're sorry to hear about your experience. Thank you for your feedback. We're continuously working hard on improving our product offerings and also adding more features to our app to make your experience better.🙏
",1,"Seriously makes you wonder how grab and singtel took so long to come up with an app and there is no simple things like adding a payee. The debit card was only recently released when trust came up with a proper product more than a year ago with a proper rewards programme. Just like its owners, GXS is a failure.",7
54,"Hey, Randy! If you need any help or have any feedback, please feel free to reach out to us at help@gxs.com.sg, and let us know! We’re all ears and would be happy to hear them. This’d allow us to have the opportunity to make things right for you and improve the app experience for all. 😉🙏",1,"Why do the app ask me to rate on Play Store if my rating on the app is 5, but there was no such questions when I put a 1 rating on the app? It encourages unfair ratings on the Play Store.",0
55,"Thanks for your positive feedback! We're delighted to hear you appreciate our competitive interest rates, card spending rebates, and find our app user-friendly. Your satisfaction is our priority! 🤩",5,"Great interest rates and card spending rebates, and the app is also simple and easy to use.",3
56,"Hey, Fuse! Our app indeed works best on the latest version as we do continuously improve on bugs, fixes and new updates. If you’re still encountering the issue, do feel free to get in touch with us so that we can take a closer look into it for you. 🙏",4,"Reminder, please up to date your app for users to activate Gxs debit physical card. Currently facing a small issue with logging in my GXS app & only through the app. + 5 secret digit number to input. All the best to new peeps have same trouble as me.... Cheers.",1
57,"Hi DingJie! We're sorry to hear about your experience. We would love to help you resolve this quickly. Please contact our hotline at (+65) 3105 2055 or drop us an email at help@gxs.com.sg with your contact info, device model, and a screen recording of your issue so we can take a closer look into this. 🙏",1,Hang when i want to log in with sing pass,0
58,"We're sorry for the hassle you've encountered. While we'd love to swoop in and fix everything right away, it seems like we need a closer look at the mischievous error you're facing. 🙏 Please drop us an email at help@gxs.com.sg with your contact info, device model, and a screen recording of your issue so we can take a closer look into this. 😊",1,Cannot set up my account in redmi 8T. Reach the email 2FA before I key in the numbers App closed,0
59,"Hey Alvin! We've gotta say, your app-solutely awesome review had us doing a victory dance. 💜 We're glad our GXS app is easy to use and thank you so much for your 5-star review! 🤩",5,"Easy to use, clear info and rapid yet secure transactions. Highly recommend.",0
60,"Hey Shaifuddin, you've just made our day with your incredible app-tastic feedback! 🎉 Glad to know that our app is easy to use! 💜",5,Ease of use and payments,0
61,Hi there! 🤗 We can't thank you enough for leaving a 5-star review. We're glad to hear that our app has met your expectations and that you've had a positive experience. We really appreciate the support! 🤩💜,5,Easy to use & very helpful 👌,0
62,"We're sorry to hear you feel that way, Tat Keong. Your feedback matters to us, and we're constantly working on improvements. If you have any specific features in mind, let us know! We'd love to make our app better for you. Thanks for sharing your thoughts.🙏",1,"Dumbest banking app ever. Get your own people to put 5*, never seen such app before, if you are good then make the app good and give 3.48%",4
63,"Hi Zam! 💜Thank you for your interest in opening a GXS Savings Account. As of now, slots for the GXS Savings Account have been taken up. We're working to open up new slots as soon as we can. We hope to serve you as soon as we can! 🙏🚀",1,Been waiting since july to open an account.. Remembered that i sign up for early access first time round and was told would be informed once new slots are available for sign up.. As weeks goes by i see that other people were invited to open an account but not me.. Now 4 mths later am trying again and signed up again for early access..,0
64,"Hi Sajeev! Thank you for your wonderful feedback. Your review made our day! Great to know that you like the app hassle free and fast loan approval and also the interest rates we offer. We work hard to meet expectations like yours, and we’re happy to hear we hit the mark for you.🙏🤩💜",5,Easy & fast approval of loan with reasonable interest rates. GXS is giving other banks a run for their $$$. All the best GXS Bank!,0
65,Hey Eileen! We're glad to hear that our app has met your expectations and that you've had a positive experience. Thank you and we really appreciate your support! 💜,5,Ease of use.,0
66,Hi Eric! We appreciate your 5 stars review. We are thrilled to know that you like the interest rate we offer for our account! Thanks for taking the time to leave your feedback! We strive to serve you better! 🙏 💜 🚀,5,Great bank..Good interest rate,0
67,"Hey Raihanah! Thank you for your 5 stars review. We work hard to meet expectations like yours, and we’re happy to hear we hit the mark for you.🙏🤩 Thank you for your support and please keep using the GXS app! 💜",5,Super efficient 👍,0
68,We're delighted to receive your 5-star rating and appreciate your feedback! 👍 Thank you for continued support in using our app! 💜,5,Easy of use,0
69,Hey there! We're so glad to hear that our app has met your expectations and that you've had a positive experience. 💜 Thank you for your 5-star rating and for being a loyal customer! 🤗,5,Ease of use,1
70,Hey there! Your 5-star rating means a lot to us and we're grateful for your positive feedback. 🙏 Thank you for your support and for using the GXS app! 💜,5,Superb,0
71,"Thank you for sharing your suggestion with us, Brendan.💜 While we do not have that feature for now, rest assured that this is captured as part of our continuous improvement process.🚀",4,Almost perfect; I want to transfer via bank account number but they do no allow me to save the bank details so I'm stuck twitch manually entering the details everytime when I need to do transfer which can be prone to human error.,11
72,"Hey, Shah! This is not the experience that we’d want you to have. Could you please get in touch with us via email at help@gxs.com.sg or call at (+65) 3105 2055? We’d be happy to hear your thoughts and make things right for you! 🙏",1,"Terrible, don't use this bank",1
73,Hi Dennis! Thank you for your 5 stars review. 💜We are thrilled to know that you like our app! We work hard to meet expectations like yours and we’re happy to hear we hit the mark for you.🙏🤩,5,Friendly user,0
74,Hey there! Thank you for your feedback and we’re sorry to make you feel this way. 🙏 Please feel free to contact us via our 24/7 hotline at (+65) 3105 2055 so that we can address your concerns directly. We're all ears. 💜,1,Worst rate you will ever find. Bank interest are much more forgiving. This app calculate and told me about 8.5% Per/annum. Total outrageous. That's close to ah long rate . Horrible horrible. Straight away uninstalled,1
75,"Thanks for sharing your suggestion with us, John.❤ We appreciate your support, and do stay tuned to our social media for more exciting news! 🚀🙏",3,I hope the GXS Bank can given the interest 10% p.a as deposit $1 into the saving account as a free gift .,3
76,Hi Gilbert! Thank you for bringing this to our attention. We apologize if you found our rates to be misleading. We take feedback seriously and are committed to further improvement. Please contact our support team hotline at (+65) 3105 2055 so that we can address your concerns directly. We're here 24/7. Thank you! 🙏,1,False advertising of rates.,2
77,"Hey Benjamin! If you have any account-related concerns, just give us a ring anytime at our 24/7 hotline: (+65) 3105 2055. We're all ears.💜",1,"Closed my account without giving me any reason. Just started to put money in the account to earn interest, merely only earned $4 of interest in total.",1
78,"Hey there, thank you for the feedback & suggestions. We are aiming to be more inclusive, and in the future, we hope to be able to offer our services to you.",5,"Fast and easier way to get the loan amount, as a foreigner i cant make but my friend helped me, it will be useful if foreigner also can borrow.. This is a suggestion.. Thanks",1
79,"We're sorry to hear about your experience, Jeffrey. We take all feedback seriously and would like to know more about the issues you faced. Please don't hesitate to reach out to us through our hotline at (+65) 3105 2055 or email us at hep@gxs.com.sg. We'll be glad to assist and improve our services. 🙏",1,Ssucks,0
80,"Hi Grace! Thank you for your support in our GXS Savings account. Currently, all GXS Savings Account slots have been taken up for now! We’re working to open new slots as soon as possible.🙏 Stay tuned to our social media channels for the latest updates!",1,Seems to be full. Unable to sign up. Uninstalling since it is the case.,2
81,Hi there! Thank you for your patience and support! Your feedback matters to us.💜 All slots for our invitations have been filled. We're working to open up new slots for you as soon as we can! 🙏,1,"1) long waiting list 2) everytime i log into waiting list, it's as if I'm not in the waiting list as they ask me to sign up to be in the waiting list 🙄 alr 4 time alr 3) of course I'm still not in the GXS list Had sent light for the long wait. Meanwhile while it isn't approved I'll delete since I won't be able to use it. 😑 No spaces.",6
82,Hey there! We're really sorry to hear about your experience with our GXS app and truly apologize for any inconvenience caused. 🙏 We understand the importance of this matter and rest assured that we're here to help. 💜 Please do not hesitate to reach out to us via our 24x7 hotline at (+65) 3105 2055 or chat with us at our in-app Help Centre.,1,"Pathetic app and support. Paynow qr, which is the only way to spend money from this bank account is not working for months and support is providing meaningless replies",5
83,"Hi Doreen! 💜 We are happy that you like our app! Your review really made our day, and we are definitely striving to improve our products to serve you better. 🚀",4,"You are welcome! I had hoped to keep more money long term but after only 1 month with GXS, your interest rate dropped greatly! Please have ""Add Payee"" to reduce errors - no Copy & Paste so we need to memorise long account numbers! Jul2023 Review - Seamless transactions. Great fun bank to bank with. I like the pockets idea where I am able to see where my goals are heading! The interest is the icing on the cake! Great UI and UX! Easiest digital bank to use! Thank you very much, Dev & Team!",9
84,Hey there! We are happy that you enjoyed the app and your review really made our day! 💜 Thank you and we really appreciate your support! 🚀,5,It really helps when really in need. So easy to do it. It's at your fingertips.,0
85,Hi Aliff! We are happy that you like our app! This 5-star review made our day! We are definitely striving to improve our products to serve you better. 💜🚀,5,Easy to apply good full amount of loan given compare to outside or lending bee ... or they never cut your loan amouny . interest can be save if payment early. multiple loan also can.. only it could be better if can increase loan amount after loan given .. or can be resgistet again once deleted.,4
86,Your appreciation and support bring us joy and happiness. Thank you and we will strive to keep doing better!,5,Good app😃,0
87,"We're thrilled to hear that our app has won your heart and become your digital sidekick. 💜 We're already brainstorming new features and products, so stay tuned! 🚀",5,"The UIUX of the app is definitely the best amongst the banks right now, looking forward to more products",2
88,Hello there! You've just made our day with your incredible app-tastic feedback! 🎉,5,Good job GXS,0
89,Hey Jyoti! We are happy that you like our app! This review made our day! 😊 We're also excited to have you on board! 🚀,5,Awesome app for use,1
90,"We're sorry to hear that, Jessie. It is certainly not our intent to make any of our customers feel this way. And we'll definitely take this as a feedback. We understand you're interested in our FlexiLoan, feel free to reach out to us directly at (+65) 3105 2055 or via email if you need any help! 🙏",1,"How many attempts for the year. Until now, message still the same. It’s not you, it’s us. We understand that receiving this news may be disappointing. And while we’re unable to disclose the specific reasons why your GXS FlexiLoan application wasn’t approved, please know that every GXS FlexiLoan application goes through an evaluation process that must meet our eligibility criteria and internal assessment requirements.",1
91,"Hi Jeff! Thanks for sharing your thoughts! Your feedback is important to us as we evolve and improve our products to better serve you. As a digital bank, we're committed to staying agile and responsive to your needs. Keep the feedback coming, and we'll keep working to make the bank work better for you! 🙏",1,"Year 2023, a banking app that can't save pay, are you living in yesteryears?",2
92,Hi MydailyGame Channel. We're sorry to hear about your experience. 🙏 Please reach out to our 24/7 hotline at (+65) 3105 2055 or drop us an email at help@gxs.com.sg with the screenshot so that we can address your concerns directly. Thank you!,1,"Cannot register, keep nothing pop up On sign up",1
93,"Hi Garima, we are sorry to hear about your experience and appreciate you sharing your thoughts with us. We want you to know that we will be introducing additional features in the upcoming months. Please keep an eye on our social media platforms for the latest news and updates! 😊

",1,No debit card. Max interest reduced to only 2.65 now within one month of start.,0
94,"Hi Andrew, please reach out to our 24/7 hotline at (+65) 3105 2055 or drop us an email at help@gxs.com.sg so that we can address your concerns directly. Thank you! 🙏",3,is there a login issue now,2
95,"We're sorry to hear that. We'd like to take a closer look at the experience you had, please reach out to us directly via the 24x7 hotline at (+65) 3105 2055 so we can address your concerns, Sufiean. 🙏",1,"Poor, get in touch with email late response after few weeks then replied. Not recommending 😔",1
96,We are so sorry to hear that. Thanks for sharing your thoughts with us. Please reach out to our 24/7 hotline at (+65) 3105 2055 or drop us an email at help@gxs.com.sg so that we can address your concerns directly. Your input helps us improve and serve you better. 😊,2,Great concept on the savings account. Daily interest really motivates keeping money there. Hope to see GXS bank grow and increase the savings account limit. Edit: Interest rate drop significantly. Moving out.,4
97,Your feedback has us doing a happy dance! 🤩 We're thrilled to hear that our app has won your heart and become your digital sidekick. 🎉,5,Cool app.,5
98,Hey Don. Thank you for taking the time to share your feedback on the GXS app. We're sorry to hear that you're having trouble accessing the app. Please kindly send us a screenshot of the error at help@gxs.com.sg so that we can address the issue or contact us at (+65) 3105 2055. Thank you! 🙏,1,Can't even open the GXS app... the only way to access your account with a digital bank. It's like placing your money and cementing it with a roof and 4 walls with no doors!,2
99,"Hey Fizie, we're sorry that you are experiencing issues with our GXS app. Please contact us at (+65) 3105 2055 or email us at help@gxs.com.sg with your contact number and the screen recording of the issue. Thank you! 🙏",1,Attempt to try but it keep post something wrong.cannot go thru the apps.dont know why?3 times try even more but still can't get thru?,1
100,Hi Han Yang! We're really sorry to hear about the trouble you faced while using the GXS app. We want to help you out as quickly as possible. Can you please get in touch with us through our 24x7 hotline at (+65) 3105 2055 or shoot us an email at help@gxs.com.sg with your contact number and screen recording of the issue?,1,Unable to open the app and use my funds. Is this some kind of cash grab?,0
101,"Hi Clement, we're really sorry about the inconvenience you've been facing. We noted that you've already reached out to our hotline, and we trust that our team is on it, working hard to resolve the issue. If you have any more questions or need further assistance, feel free to get in touch with our customer service channels. Thanks for your patience!",1,"Wasn't able to log in since 7 Sept. Called the CSO hotline on 9 Sept and was told to try resending the email OTP. Checked the email junk box and retried multiple times but didn't receive any emails. Was told that they had to check on the back end. When asked when I could receive a response, they mentioned 2 working days?? But this means I wouldn't be able to carry out any transactions for 5 whole days. Imagine if I had a critical transaction to carry out! I would have no access to my funds!!!!",4
102,Hi Ricky! We'd love to look into this. Please contact us at (+65) 3105 2055 or email help@gxs.com.sg with your contact number and a screen recording of the issue. We'll investigate promptly and get back to you. Thanks!,1,App got problem can't login,1
103,"Hey Edwin, we're sorry that you are experiencing issues with our GXS app. Kindly reach out to us via our 24/7 hotline at (+65) 3105 2055 so we will be able to assist you. Thank you! 🙏",1,"Stuck on Oops, something went wrong page when opening the app, while overseas. I can't imagine if I was in a urgent situation and my banking app failed like this. No way to access funds through a browser too means you can't do anything at all other than hope the problem is fixed soon. Put what you can afford to lose.",13
104,Hi Zen! Apologies for the GXS app trouble. We're here to help! Please contact us at (+65) 3105 2055 or email help@gxs.com.sg with your contact number and a screen recording of the issue. We'll investigate promptly and get back to you. Thanks!,1,Same cannot open the apps now... What happened?...,1
105,We are sorry that you are experiencing some issue with the app. Please reach out to us via our 24/7 hotline at (+65) 3105 2055 so we will be able to assist you. Thank you! 🙏,1,Unable to open all of a sudden when I try on 7 Sep and only stuck in loading screen,1
106,"Hi Kelvin! We hear you and always striving to improve. We recognise our customers use GXS for Grab and Singtel Dash transactions to earn 1.2x reward points from eligible transactions, so from 17 August 2023, we're increasing the interest rates for our GXS Main Account from 0.08% to 2.38% p.a. and the Saving Pockets will be adjusted to 2.68% p.a.🙏",1,False promise so fast change interest rate,2
107,"We're sorry to hear this, Garreth. Please get in touch with us at help@gxs.com.sg with a screen recording of the error, along with your contact details so that we can reach out to assist you. Thanks! 🙏",1,Unexpected error when trying to login. Kindly fix this issue ASAP.,2
108,Hi Brad! We're really sorry to hear about the trouble you faced while using the GXS app. We want to help you out as quickly as possible. Can you please get in touch with us through our 24x7 hotline at (+65) 3105 2055 or shoot us an email at help@gxs.com.sg with your contact number and screen recording of the issue?,1,"Unable to open app. From other reviews, seems I am not the only one. How to trust this bank?",2
109,"Hi there! We're sorry to hear this. Could you get in touch with us at help@gxs.com.sg with a screenshot or screen recording of the error, along with your contact details so that we can get in touch with you? Thanks! 🙏",1,Cannot log in!,2
110,"Oh no! We're sorry to hear this, Lucius. Could you get in touch with us at help@gxs.com.sg with a screenshot or screen recording of the error, along with your contact details so that we can get in touch with you? Thanks! 🙏",1,Unable to use biometrics,1
