,score,content,thumbsUpCount,replyContent
17,2,"Buggy app, a shadow of its former self. : I used to love this app, really enjoyed how seamless banking became with it. However, it appears as though this app is on a decline. 
1. Enable FaceID but it does not work! I still need to enter my PIN to log in. 
2. After entering my PIN, I receive an error message “This service isn’t available now...” and I’ll need to restart the app multiple times before I’m able to log in. 
3. Repeatedly asks me to set up my digital token even though I did it ages ago. 
4. Where is the Comment box for transfers? It is useful as I can inform the other party what the transfer is for.
5. Sometimes, I’m only able to make a transfer once. Attempting a 2nd transfer will result in the above mentioned error message.

This app used to make my banking a breeze, these days I get frustrated while using it. I’ve tried contacting POSB via their website to leave a feedback but I’m unable to find an avenue to do so.",0,
18,1,"Service Not Available poping up : When trying to login, keep poping up Service Not Available. This service issue turned paynow and cashless payment into a hell of a problem. Can’t login meaning all transaction cannot be done. I have to relied on carrying lots of cash again.  

Am an IPhone 14 user. I checked below review and I’m not the only one experiencing this issue. Have to keep refresh the app and at times cannot login means cannot login. I have checked on Wifi/5G/4G and phone is pretty new and experienced this issue island wide. Confirmed is app issue that’s been persistence for more than 2 weeks.",0,
19,4,"Great. Could be better : I like the budgeting feature. I ‘almost’ not using spreadsheet anymore.

It could be improved if when setting up monthly budget, I could also see how much I have budgeted on all categories so I can compare it with my income for the month and make sure I don’t budget too much. This is a no brainer. I ended up setting up my budget first on a spreadsheet  then copying the values to the app.",0,
20,5,"Efficient and hassle free apps : This app gets all the major tasks that we need for our day to day business with banking done quite efficiently. There is no lag and no crash for me this far. However with issues like me wanting to know about the refinancing eligibility and other administrative matters relating to my loan, I hope this app could provide recourse to those options as well.",0,
21,1,"Worst worst app EVER : WHY do I have to log in at least 5 times before the app doesn’t prompt me that I’ve been logged out due to security purposes??? LIKE I’m in an urgent to transfer money from MY OWN ACCOUNT TO MY OWN ACCOUNT or I want to check the details of my previous transactions and ITS IMPOSSIBLE. 

This is so tiring come on you want to be the biggest bank in SEA but the app you make works terrible, probably the most annoying app on my phone right now. Hate this so much and I hate the fact that I can’t change banks right now. Don’t worry I’ll change my bank immediately when I get the chance.",0,
22,1,"World Class Digital Banking Experience? : The statement “deliver world class banking experience” is laughable.

This app is frustrating, especially when and after the IT guys are doing/ are done with their “maintenance”. Sometimes the feeling is like winning the lottery if everything went smoothly.

Numerous times (no joke no exaggeration) have encountered problems where after just 3 or 4 seconds of logging in, a digibank Alert will pop-up saying the session has time-out for my security & to login again. Even after dozens of time trying the same thing happened!!!",0,
23,5,语言 : 如何设置成华语啊,0,
24,5,"POSB/DBS deserves a lot of kudos : I have done business with almost every bank in SG, and POSB/DBS by far has the best customer experience. Great customer service and internet and mobile banking experience. 

None of the other banking apps are comparable to the quality of this app. I also like how the phishing warnings are seamlessly added to the app to warn people of potential phishing scams. Good job DBS!",0,
25,5,"Felicia, the dbs hot line service lady, is very helpful👍👍 : I want to submit some online form, but no idea why the form was not enabled on the dbs website. After call the dbs hotline, it’s solved with the help from Felicia, the hotline service lady. Felicia is very patient and helpful. She guides me step by step for the setup of the digitoken and eventually the website form is enabled. Thanks for the help, Felicia.🙏",0,
26,4,各位大神 : 请问大师 这个应用怎么调成中文？,0,
27,5,"Easy to use :) : Fabulous ease of use for local or overseas transfers, payments and updates. Chat box a little useless and still easier to call the bank hotline for certain issues but this app does most of the stuff I need month-to-month with great ease. Thank you!",0,
28,2,"App does not always work. Most times it just stay at its logo page : When using this and Dbs App, many times it just stay on the main logo and doesn’t move hence can’t carry out transactions. Turn off and on phone. Deleted and download App a few times still same problem since many weeks ago. Currently Using iPhone 8plus and iOS 14.4. Noticed Problem probably started about the time of the last 2nd or 3rd IOS update. Not sure when this App was last updated. Anyway pls sort this out.",0,
29,1,"Tilt : This is my first time writing a review on an app store. Nothing came close to actually prompt me into writing a review but this app is certainly something.

For heaven sake, I had to login to my account more than 3 times because of your “session timeout” 10 seconds into your app. Not to mention how annoying typing on the login preface is. Mind you I’m using the latest update. 

If I have to keep doing this everytime I need to access my bank account, I would prefer to use other convenient means. Please get this check.",0,
30,1,"Was awesome at first, really crappy since a year ago : My fav app hasnt been functioning. Takes a long time to log me in, impossible to transfer money or anything of that sort. I even changed my phone from iPhone10 to iPhone13 thinking it was my old phone causing the issue but no… the problem persists even after multiple deletion and re-installation. If its too hard, might just move my money to UOB or OCBC. It’s embarrassing when you gotta wait 5mins to make a simple paynow transfer at a merchant with a long queue behind you ☹️ .",0,
31,4,"Great app, but need improvements : It’s A Great app and very convenient. Posb can improve few things: in CC section if you to in one cc details and then want to see other one you have to come all the way out to home then click on cc to expand and select next one. Surely can reduce number of taps and simplify it. Similarly there is scope to reduce taps on other account screens.",0,
32,4,"Fulfils banking needs : Great app that fulfils most of my banking needs. Smooth with decent amount of customisation available. Need to work on the digiPortfolio functionality though - app keeps quitting when attempting to navigate through that.

21/09: impossible to report bugs so have to resort to this - app quits when when trying to sync to findex.",0,
33,2,Kept hanging : Was a user friendly app until it hang my entire phone. I can’t even reset my phone. Made me panic and wonder what went wrong as I was doing transfer. Happened twice already. And I don’t even know if the trf went through. I even tried resetting my mobile by pressing the home and on/off keys. But it doesn’t even blink! Then the app itself auto exit. This is scary! Not reliable! I’m avoiding using it as much as I can from now.,0,
34,4,"Please mute the friggin bank transfer / payment sound when the phone is on mute!!! : 1. Please mute the friggin bank transfer / payment sound when the phone is on mute!!!
It is so awkward when people are in a silent room or the library and you had to do a payment.
2. Why is the loading times for the app is so slow until i had to quit the app to load???",0,
35,5,"App showing session timeout immediately after login : I updated my app to latest version and once I login and it is displaying session timeout and asking to relogin 

After I relogin getting same error and looping same process and I cannot able to perform any actions.",0,
36,1,"Phone becomes unresponsive after using the app : As mentioned by a lot of users here, the usage of the app causes the phone to heat up so quickly and the whole phone becomes unresponsive. This happens even after using the app for only less than a minute. As someone who makes use of the digibank services quite frequently, it is very inconvenient for me to keep restarting my phone after each transaction. I sincerely hope the developers would do something about this.",0,
37,1,"App cannot load and stuck at loading screen : Before update to 5.02, cannot get pass loading screen. Complain through many channel, no positive responds. Customer service channel no help at all.

After 5.02, still same problem. Feels like POSB not taking customers seriously, extremely disappointed. Unable to use ibanking app for a few weeks already. My only way to access ibanking account also requires “authentication” from app. Now app cannot use, I am totally stuck. Feels like switching to other more capable banks.",0,
38,3,"3/5 : This app used to be great, it’s easy to navigate and has features to give you insights on your finances. PayNow also easy to use. But the app has been crashing multiple times. Log in for one second -> error message that session has times out -> logged out. And repeat ad nauseam. No point having good features when I can’t even manage to stay logged in..",0,
39,3,"App stuck at opening logo : After the most recent update (Jan 2021), the app is still stuck at the opening logo and would require the user to kill the app using the app switcher and then reopen for it to load properly only the 2nd time onwards. And after some time or later in the day, the same thing has to be done again.

This issue happens on many others’ phones as well. Kindly fix it ASAP",0,
40,5,Payment  control : The payment control allow to have a full control of your credit /debit card in which no bank offer such features in Singapore bank yet .,0,
41,4,"PayNow Contact List : Since IOS 14 there has been a bug with PayNow contact list page. When a contact name is typed in search bar, the search bar ovelaps with the contacts below making it unable to select the top 2 contacts shown on the list. This needs a fix asap !",0,
42,3,"Feedback suggestion : Please let us set the default source of funds in our profile, and remember it. And don’t switch it each time we select another account to do a paynow transfer. E.g every time we login, it will always go back to the default account we set in profile, not the last account we used to do a transfer",0,
43,5,"Transaction History Time Range : Currently, users can only view transaction history of the past 6 months (max). It would be more helpful to allow viewing up to 12 months back.",0,
44,5,"Fantastic app for my favourite bank. : I have not had any major issues from the time I’ve started using this app. Love how it’s a one stop one solution for all my banking needs, which money other banks actually haven’t really tried to implement. Good job POSB. 👍🏽👍🏽",0,
45,5,POSB app page Standstill : This happens almost every time after IOS has been updated . Don’t have this issue since last year where it was working fine for me last few years,0,
46,1,"Blood from ears : Some clown on the developer / ux team insists of having the alert chime PING when we send monet despite the visual being more than adequate. The result - a screeching sound that harms the eardrums way above safe and acceptable levels. It has no threshold - cannot be disabled and is just loud for the sake of it. it’s also obtrusive - everyone gets to hear that one is doing banking.

I recorded the Decibel levels on my Apple Watch and it Alerts a warning. Now imagine how this feels inside the ear?!? This is not just irresponsible - it’s dangerous and needs to be addressed!",0,
47,2,"Frequently facing issues loggin in. : Service not available issue occurring more frequently. Sometimes even after login , immediately getting time out errors. Some other times it throw error saying too many times using wrong pin and ask to reset PIN where only Face ID was used to login. Worst experience of using the world’s best digital bank app. Cannot even support the small SG customer base.",0,
48,5,"Best banking app for credit card : I love the added layers to lock different type of transactions, making it easy to prevent unauthorised one!  I am hoping other bank card has them too!",0,
49,1,"Cards : Please update back on the CARDS section, update to the previous version. Its making me  confuse on the pending thing, previous version was easy for me to track down my expenses. With the new version it get so confusing. Please please remove the pending thingy, i prefer the previous version where i can easily track down my expenses! Prefer the previous version, where it display your expenses accordingly without confusing with the pending thing.",0,
50,3,"Please relook the functions and UX! : Not sure what’s happened but it’s almost impossible to login to the app now... it just hangs and shows the main page for a very long time unlike before. Even after logging off and restarting my phone, it takes forever. OTP sent to email address? Not sure what’s happened. Pls improve the UX. Previously it was so much better, more seamless to use.",0,
51,2,"Causing iPhone 12 Pro temp to go up : Not sure is that only me or anyone else facing the same problem... my new iPhone 12 Pro Max can become very hot when using this app... never happen to my other iPhone before. Was advice my apple help line to delete and re-install, but still having the same problem. So far this is the only app that cause my phone to become very hot... hopefully this can be resolve soon with some coming update..",0,
52,1,"App Closes Automatically : When I try login to internet banking on my laptop/PC, there will be a notification on my phone to authorize the login. However, when I press on the notification, the POSB app will open and close automatically and then I cannot login on my laptop/PC. I have restarted the app a few times, did hard reset of the phone a few times and kept the app updated to the latest version. But the same issue occurs. Please look into this software bug. Thank you.",0,
53,2,"Keep Asking for feedback : I am an avid user of the app to track all my expenses. However, every time i want log out, the app keep asking me to provide them feedbacks and rating. Every.... single... time.. to me it’s unnecessary and i’ll just skip the rating portion and close the app. Why in i convenience? I understand that we all want the best out of the app through user rating but asking for the rating/feedback every time can be annoying.",0,
54,5,语言 : 功能是很好用 如果有中文就更好了,0,
55,3,"Easy to use but bugs in starting up : The app is intuitive and easy to use however, a concern would be starting up the app especially after the latest IOS update. Frequent need to refresh and restart the app to do online transactions which can be annoying. Especially when immediate payment is required.",0,
56,2,"technical issue : i have trouble getting ibanking done as the app kept disconnecting me from wifi usage. I had thought it is my wifi issue but i had no issue using other apps and even watch netflix smoothly without distruption. However, whenever i need to get money wired over, app will crash and state that app is under maintenance or no transanction could be made thats when i realize my wifi will be affected",0,
57,5,Recently app is lagging : Been having logging and transaction issues for the past few months took a long time to either log in or process transferred.,0,
58,1,"login browser : Why do you need to change when things are doing fine and well in the past?? Your new keyboard is not interactive at all, i kept missing out the inputs even though i have keyed in. 3 times telling me my user and password is incorrect. This definitely did not happen before and is due to your new keyboard. Please don't change for the sake of changing, you are frustrating your customers.",0,
59,5,POSB Digibank Handy Master : I have been using POSB digibank mobile application which gives enchanting experience to complete all my banking needs with ease. Great Tool from gracious POSB IT Team. May the Lord Bless you to attain success in all your ventures. Take care and Stay blessed All is well.,0,
60,5,"App not responsive : My App is not responsive. Cannot open the App without having to delete and re upload again. Used to like the App but now I am sceptical about using it. 
Can fix the bug please?",0,
61,5,Great app : User friendly with almost everything can be done using the app instead of having to go to website,0,
62,2,"PayNow - This service isn’t available right now. : After the update, keep facing the error This service isn’t available right now. Now is 7am plus in the morning, how can the service not available on a weekday.

There shouldn’t be any maintenance during this period. I have tried for 2 days.

Also, sometimes, after transfer of money, the app crashed. Need to relogin to check if the transaction has crossed.",0,
63,3,"Issues : First of, this app takes too much space, I'm not even too sure why. 

Secondly, my music would stop when opening the app, and trying to resume playing music would be stopped as soon as I go back to the app. 

Other than that, there are no bugs that I am experiencing",0,
64,1,"Lousy bank app just beware : Apps are always slow and laggy. When negative feedback is given, the system will always deflect them by sending an error message stating that there’s some technical glitch going on. This message won’t appear when the user gives good ratings. 
Clearly shows that the people behind this app system have no commitment to keep your account secure, safe and reliable.",0,
65,5,"App crashes : Hello, I do need some help, the app keeps on crashing every time I tried to make a transfer to Paynow. I have also restarted my phone and tried reinstalling the mobile application",0,
66,5,"OTP auto catching isn’t working : Sometimes the phone catches the OTP automatically for other apps or even for during usage of mobile webs but POSB app isn’t catching anything. 
Wish this part gets smoother if possible.",0,
67,5,"User friendly : App is mostly user friendly and very convenient. Sometimes some technical challenges bother , but mostly very convenient. Easy",0,
68,1,"Stupid app, always can not login after every single freakin update you launch! : Your bank is one of the biggest in Singapore, yet your ebanking app is so much full of bugs after every update! I have to un-install EVERY single time you have updates to the app, and I unable to login. I am using the latest iOS on iPhone 7+, don’t give me crap about old phones or whatsoever. No choice but to use your bank for salary purposes, would have ditch your bank umpteen years ago.",0,
69,2,"keep auto scrolling up and down when I first login : App hang, keeps auto scrolling up and down and showed correct amount in my account then the wrong amount after that. Please fix it la thanks.

Other than that usually it works fine but everytime it’ll keep auto scrolling up and down when I first login.",0,
70,5,Best UI out of the local banks : Not going to compare this with some of the overseas digital banking platform I’ve experienced but just among the local competition this already the most user friendly UI.,0,
71,4,"No Sms notification received : I noticed yesterday that I didn’t receive any sms when I made a fund transfer to another account. Previously, I will receive an sms immediately once O made the fund transfer transaction. I hope that this can be rectified.",0,
72,5,"Nice and Stable App : Probably one of the best banking app out there and especially love the summary insights that alert me of unusual transactions, it’s like having your own finance officer giving you finance advise. Keep up with the good work and looking forward for more new features.",0,
73,5,"Favourite bank app : I love the UI/UX of the app. Everything’s displayed in a very clear manner, it’s easy to navigate and find the things that I need. Especially when compared to some other bank apps where I’ve had really bad experiences with.",0,
74,2,"Can't See Loan Details : After update, uninstalling, reinstalling, still can't access the mortgage loan details after tapping on this item on the home page. 
Shows a blank page and then can't get back to the home page nor log out after that. 
Is this item unavailable/not accessible in the app anymore?",0,
75,1,"Problematic : Ever since the major update, convenience isn’t a thing about this app. Logging in takes ages, sometimes it crashes when logging in and when i do, i’m already at the age of retirement.

When i check my transaction history, same thing. Loading takes forever and sometimes it crashes.

Where is the old POSB app? I miss that so much. The simplicity, the efficiency, the straightforward no hooplah. Bring back the old posb codes, not this hot pile of garbage.",0,
76,5,Face ID issue : I have problem with Face ID to unlock POSB digibank apps. I don’t know maybe because of security reasons. Otherwise it’s very good apps to use in Singapore and overseas after updating phone number. Thank you.,0,
77,1,"App doesn’t work almost all the time : App doesn’t work, many features don’t show single information, just a msg sorry we are having issue. This is especially true when it is weekend or late evening till morning. Sometimes, login page says sorry we are facing heavy traffic, try logging after sometime. What is this? A banking app or some grocery store app? Unreliable and pathetic.",0,
78,1,到底要怎么样才能设置中文 : 软件介绍页面不是说支持中文，可是怎么也设置不了，到底是什么情况？,0,
79,1,"App causing phone to heat up : I noticed that this version after using for like 5 minutes, the phone starts getting hot very fast.

Initially I thought this was caused by another app as. I only noticed it was hot when I used another app but just not long ago while using the app, the phone started getting hot again very fast.

On hindsight, I remembered that the first time I encountered my phone getting hot very fast, the POSB app was opened in the background",0,
80,5,Best Bank App : Probably the easiest bank app to use. Like the many options which are not complicated to execute.  Other functions like top ups or temporary increase are easy to find and operate.  Very friendly app!,0,
81,2,"Service not available keep happened recently : I have experienced a few times that when I want to scan QR to paynow or log into the apps, the apps keep prompt out the notification, that the services are all unavailable whereby is not even within the maintenance period. 

Pls fix the bug, is really disturbing me. :(",0,
82,5,Best digital bank app : I don’t think any bank mobile app even comes close to what DBS has achieved with their mobile app. Impressive improvements- keep it up! This makes me want to bank more with DBS compared to other banks.,0,
83,5,Full of bugs : Crashes after every update and cannot even use the Face ID to log in. One of the most prominent bank in Singapore but with lack lustre online app services. Disappointed. Uninstalled.,0,
84,1,"Overly protective and too amateurish : Each time when I log in, it prompts me to set up a digital token and the authentication is from email and sms. It’s a chore and the app developers aren’t giving any consideration on this matter. Better to use the DBS app as its more faster to log in.
It’s good to be protective but please understand the user’s point of view. In case of need to check the balance or use the app on an urgent basis?",0,
85,3,"Scan and Pay Bug : Please check that the app, under Scan and pay is up to date. i open up gallery photo it doesn't show my Paynow payment, yesterday i do it can. why today cannot? i restart my iphone still the same issue.",0,
86,3,"Face ID issue : The Face ID having issue, even I did Enable and Save it. But after awhile the Face ID not function anymore, even I check again the setting is turned on. To make Face ID function again, needed purposely turn off and on again then Save. (But still it will not function again after awhile).",0,
87,5,User friendly and convenient : It is an user centric platform with easy to read interface.,0,
88,3,"Feedback for apps improvement : Good apps. Eliminate the need to use desktop version. However please allow copy and paste for message like whatapps, SMS etc. This Is to prevent human error when keying in the account number. It will be tough to recover the money if transfer to the wrong account and I am sure banks won't want to take responsibilty.",0,
89,5,Having problem using the apps : Always stuck at the POSB logo screen and didn’t change into the main where I need to use the digital token on time. I’m using IOS 14.2 vision. Please look into it. Thanks.,0,
90,3,"iPhone 8 Compatibility Issues : I am a iPhone 8 user and I have been experiencing issues entering the POSB and DBS app, and I heard that a friend of mine, also an iP8 user, has been experiencing the same issue for some time now. Not sure if this is a common issue across iP8 users though. Hope the developers could look into this. Thank you!",0,
91,5,"I can’t transfer money : It always hang at the page pay & transfer, how to fix this issue",0,
92,5,"iPhone becomes Hot : After Using this app version makes my iPhone 12 Pro Max hot and hang up for some apps like WhatsApp, settings, etc.. please try and take a look",0,
93,1,"Oversea bank transfer : When I want to do a bank transfer to oversea, the rate that I want to do is the rate showing when I am make a decision.   I understand it will take few days to transfer but it doesn’t mean I am agree with the change rate after few days.  That mean when the payment done and oversea transfer done are different change rate. This is cheating",0,
94,5,Ease of Use & Convenience : I use this app every week without fail. It’s one of must-haves and must-use app on my mobile phone because it is such a simple and convenient app for my banking needs!,0,
95,3,"“Pay by instalments” keeps crashing : The “Pay by Instalments” function (under “More” tab, “Apply” section) is not working. When you try to scroll the page to confirm the instalment payment, it always crashes. Please fix ASAP.",0,
96,4,"POSB digibank review : It makes transferring a breeze. The application is easy to use. However, it can be improved by putting tutorial on how to use the application on the login page. New users may not know how to setup and manage their accounts.",0,
97,5,"Great customer service : Responsive team when enquired through email and was helpful. Problem solved and confidence restored, thank you.",0,
98,3,"Currency exchange  feature request : It will be nice if DBS supports preset currency exchange. Like a pre-order of exchanging $1000 sgd to aud if a certain exchange rate is offered.  Or at least offer a notification if a exchange rate condition is met. This feature is offered by other banks app, for multi currencies account owners",0,
99,1,"Extremely buggy app. : It always happens. Paynow to phone number or UEN and it says unsuccessful. But then I will receive SMS later to say it’s successful and true enough it shows deducted from my account. 
Even scan and pay paid twice to merchant although I scan and paid only once. 
Seriously have to check transactions everytime I use the app.",0,
100,5,Easy to use : “It’s a great app. Easy to use and convenient. Able to update address and etc without going to branch to do it.,0,
101,5,A user-oriented banking app : The only banking app that’s truly designed for the user’s needs. My favourite banking app compared to their competitors’. Minimally it’s convenient to use and a slew of convenient functions designed for users.,0,
102,5,"System not available : The system was not a a, and had try a few days. Had deleted the app, and re-installed again for couples of time. Haiz! What happened? 😞",0,
103,4,"Face ID not working : Face id only worked for the first few months upon downloading the app. Now the button is just there for show, and doesn't work anymore. Apart from that, the app is good.",0,
104,3,Transfer option Stuck : Everything works great but whenever i click the transfer it always get stuck the loading symbol doesn’t move,0,
105,2,Add card fee waiver option please : Appreciate if you can consider having credit card or finance charge fee waiver in the app.  UOB already have it in their mobile app. Maybe POSB can consider to include it as another option other than calling into the phone services and jamming up the call volume.,0,
106,1,"Need More ATMs at Seletar Mall : POSB branch at Seletar Mall has been closed sometime last year 2020. Leaving behind ONE  (1) and only ATM machine at basement NTUC.  Always long long queue during weekends. Machine at NTUC is also placed at a small and congested space. Machine also cannot perform book updating. Also can only draw out $50 notes, not small denomination notes. Could  POSB/DBS look into this?  Could personnel find another location and place a few more machines at Seletar Mall?  Thanks.",0,
107,1,"Have to get a physical token to activate the digital one : Yup, was advised by DBS call Center after going through days of waiting for them to fix the app glitch. Now the only solution is to do the above cuz apparently the SMS pin is also not working. Why keep updating and changing the app if basic functions can’t even stay in working conditions? Really frustrating .... Stop ‘improving’ this app unnecessarily please if it’s working fine!",0,
108,5,"Application didn’t work : After the update, even can’t open until now, hope someone to fix this error",0,
109,5,DBS Digibank Apps : Ease of use with very clear self explanatory instructions & always offers choice to Confirm before they execute the requested transaction. So you feel more assured. Thanks,0,
110,5,Service is down? : cannot open app for make online payment!,0,
111,1,"Hard to use : Doesn't allow pasting of account numbers and doesn't default to number entry in that field. Also had a scare when it rejected my login pin multiple times when it worked on the website.

Keep having errors when trying to pay my credit card bill",0,
