score,content,date,score_sentiment
1,No Payee Saving Makes Trnx Tedious : My biggest frustration is that I can’t save payees when sending money.  Everytime I need to transfer funds I have to select a transfer type and fully type out the account number payee’s name and select the bank.This is incredibly tedious esp for accounts I pay frequently. Without this “fundamental” feature a payee list it’s easy to make mistakes entering long account number name and bank name each time.,2023-08-22 10:22:46,-1
5,Best bank! : Best bank to save up and best bank in receiving cash back! And also so happy to be able to win a lucky draw from here! Hopefully things get much better in this year!,2024-01-11 08:48:28,1
5,Simple easy to understand interface : App is very responsive and interface is simple but comprehensive. Transaction speeds are very quick too.,2023-06-05 15:00:14,1
5,Easy to use : Despite a lengthy onboarding but my account got approved promptly. I like that the app is snappy and easy to use. Waiting for credit card so that I can switch to GXS as my main account.,2022-10-31 05:18:02,1
5,GSX - the bank of future! : GXS offers seamless fast and super effective digital services. Never ever I had such experience with other banks. GXS definitely is the bank of future! You must try it to believe!,2023-11-16 19:29:12,1
5,Best Digital Banking : I recently used this digital bank which has many security features and user friendly UI.I 100% recommend to used this App.,2022-10-06 02:05:55,1
5,User Friendly : The app’s interface is really user friendly and sleek! It loads very fast as well can’t wait to start using this digital bank app :),2022-12-16 02:50:05,1
1,One year yet not much improvement : Already 1 year but basic functions like adding payee is not in the app. It’s so troublesome to transfer funds to different bank accounts! With your latest move to reduce interest to 2.68% has made me feels like maribank is better even with slightly lower interest rate because they knows what basic functions to include in the app,2023-09-12 05:10:29,-1
1,Bad experience of this GXS app. Think again if you want to go cashless with this app! : Extremely disappointed with the GXS app. Despite consistent use on the same device for a long time it suddenly stopped allowing money transfers with explanation device changed. This lack of clarity and abrupt disruption in service is unacceptable. Terrible user experience deserves only 1 star.,2024-02-24 06:12:02,-1
5,More rewards : Wish more people can download and use and more rewards can be given.,2023-12-07 07:21:02,1
5,Awesome app : Very smooth to use and attractive app. Simple features and excited to see more advanced banking features in future.,2024-03-19 03:38:30,1
5,Great : Everything is perfect. Ease of use. Fast transfer for quick cash. Repayment is easy and low interest. This app is a life saver literally :),2023-12-06 09:00:01,1
5,Smooth and easy to use : Can try for saving money !! My money said they liked there,2023-11-11 07:18:42,1
5,Ease of use and practical : Easy drawing and repayment option. Flexible of choice at any time with any needs. Like it and good tool for emergency money with flexible borrowing and repayment.,2023-09-25 01:04:27,1
5,💯 Recommend : Ease of use.Pay anytime before due is possible. Emergency moolahs are here without breaking your bank!,2023-11-15 02:39:34,1
5,Exciting bank : J got recommended to try out this app by a fren and i love it! It’s convenient and easy to use and i can see myself committing to this in the long term! :),2022-12-07 12:19:51,1
5,awesome app : the app is easy to navigate and the UI/UX is excellent. I love the saving pockets and the good interest rates! definitely worth the wait and has a lot of potential 👍🏼,2022-12-07 06:31:42,1
5,Exceeded expectation : My fav feature is the saving pockets can't wait to build my savings with the good interest rates. amazing user interface!,2022-12-09 03:47:29,1
2,Unable to use even though news mentioned go live date : Downloaded the app but doesnt seem to be able to sign up and got asked to stay tune after giving my phone number. I cant see the screens as presented in the app store. What is going on?,2022-09-06 17:57:25,-1
5,User experience : Very easy to navigate and super fluid UI. Lovely bank and recommended everyone to join with ease of mind.,2023-11-21 07:13:17,1
5,Banking made easy : No more long waits and tons of paperwork to open a bank account. Looking forward to how GXS can generate a stronger value proposition for consumers.,2022-10-04 13:02:31,1
5,Smart & easy to use online bank : This app is easy to use.,2024-02-10 03:22:39,1
5,Reminder n easy to use : User friendly,2024-02-17 11:21:01,1
5,GXS bank mobile apps : Like to use GXS apps that is link to Grabs apps for easy to transfer money from saving to topup Grabs account.,2023-12-06 08:45:43,1
5,Easy navigation : Best digital bank in my opinion I prefer this over its competitors:),2023-11-18 08:52:03,1
5,Ease of use : Well if u like to see growth everyday this app gives u that. Set goals and see it grow towards it!,2023-06-05 11:16:31,1
5,Ease of use : Very convenient and easy to understand and use,2023-06-06 02:44:38,1
1,Not Ready : Why put an app on the store when you are not ready. All about the app now is collecting info. If you have heard yet please use testflight for ur ‘launch’ aka beta testing 🤦🏻Update: doesn’t bode well… even response is so robotic n mundane. Might as well not respond and spend the time to build the app for a proper launch,2022-09-16 07:19:33,-1
1,Misleading Advertising : Noticed the news writing they offer 3.48% interest rate. After downloading the apps and trying to sign up end up asked me to fill up my particular to  receive latest buzz updates.! If the bank isn’t planing to offer please stop advertising that. Thanks!,2023-07-25 14:17:22,-1
3,Interest rate dropped : It’s all good! Until recently a dropped of 0.8% interest rate in such a short notice and changes,2023-08-11 11:02:39,-1
2,Problems logging on to app : Having problems logging onto the app. It says my phone cannot be used for GXS as it has been modified in someway. I just logged in this morning with the same phone with no problems. Please advice.,2023-01-20 04:35:32,-1
5,Love it! : Love the interface and saving pocket is so unique can’t wait to meet my deposit goal!,2022-09-12 05:46:10,1
5,Easy to use with friendly UIUX : The app is easy to navigate and optimise for people of all ages.,2024-02-25 07:24:03,1
5,Ease of use : Brilliant app design fast transactions excellent rates. Keep up the good work! What more can I say?,2023-11-15 06:52:28,1
5,Definition of less is more : Try it and you will love it.,2023-06-11 00:50:35,1
5,Great UX! : The app is super easy to use and I love the saving pockets that allow me to easily set money aside for my goals!,2023-06-05 10:16:52,1
5,GXS is great e-bank : There are a number of things that are great about GXS. 1. Ease of use2. daily interest 3. No hassle with minimum sum,2023-12-06 08:35:07,1
1,Reputation Is Key : It doesn’t make the company look reputable when they offer a high interest rate only to drop it immediately after gaining enough users. It feels like a bait which it is. They should acquire deposits through more honest and transparent methods.,2023-08-13 12:05:53,-1
5,First time using! : Easy to use and log in! Very clean instruction.,2023-06-05 11:34:48,1
5,Very good application : Simple straightforward to use with no bugs. Great experience,2023-06-05 10:23:48,1
5,Great app with very appealing colours! : Really like the details in the app will definitely use it daily!,2022-10-03 06:17:01,1
5,Nice App : Like the app design especially the pockets for savings. Just waiting for the $5000 limit to be lifted.,2023-05-30 13:19:00,1
1,Can’t open an account : Received email invite from GXS saying that I am now able to open an account. After finishing the entire onboarding application I am told they are unable to proceed with my application saying “It’s not you it’s us”. Ummmm okayyyy,2023-07-19 06:05:49,-1
5,Good Features! : Easy to use and nice UIUX. Saving pockets is an interesting and useful feature,2022-12-10 13:18:37,1
1,Unable to Launch Survey : Is GXS looking into this issue? Going to be a week still something is wrong. What happened to iOS user testing before roll out? It’s baffling the slow service recovery GXS is impressing upon iOS users.,2023-12-23 08:46:14,-1
5,Application : Simple and easy,2023-11-10 11:37:30,1
5,Great app to use : Intuitive and easy to set up,2022-12-07 06:14:34,1
5,Loans : Friendly use apps,2023-12-11 17:42:41,1
1,What a waste of time : GXS touted a 3.48% interest in their savings pocket only to change the interest to 2.68% within a short period of only a month. A bank is only as good as it’s promises and this bank just lost it all. Will never use GXS again.,2023-08-07 08:36:43,-1
3,Not like the theme : Personally don’t like the theme anyway allow user to change more brighter one?Dark color me uncomfortable 😞,2022-12-23 04:53:44,-1
5,Ease of use : Very friendly app,2023-06-05 15:00:50,1
5,Helpful : This is very good. Really very helpful. I Will keep in touch with them. 👌🏽😍,2023-12-03 15:49:37,1
5,Great : Such a great service compared to Bank,2023-11-20 08:16:12,1
5,Great app with high savings : Easy to use with high interest rate,2023-06-05 10:26:09,1
5,Good banking app : Makes banking easy to use,2023-06-05 11:50:22,1
5,Smooth interaction and easy to use ! : Nice design!,2022-09-05 01:49:32,1
5,Great App : You get the highest saving interest rate on the market,2023-11-10 14:32:16,1
1,Cheater! : Show allow to increase amount not reduce and stay that way. For a first timer I didn’t know that once I reduce amt I cannot get back the original amount that is given to me.,2024-02-21 14:03:59,-1
5,Best internet bank ever : Guys u guy to try this out,2023-12-09 04:06:51,1
2,Information extracted from SingPass is incorrect. : Income extracted from SingPass is incorrect.Information in SingPass is correctWhich means the process of extracting information needs to be updated.,2023-08-14 04:56:05,-1
1,Not even able to try this app : This should be removed from App Store. A bank that is not even able to accept a customer sign up. What a joke from Grab and  Singtel.,2023-01-24 15:24:38,-1
5,Good app good bank : Loan disbursement was immediate. App is simple to use. Repayments just as easy.,2023-11-02 13:47:28,1
5,User friendly : Best and fast loan approval,2023-10-08 10:35:35,1
1,Disappointed Apps : Extremely disappointed after downloading the app waited and waited for it to open and still told to wait and wait and wait and wait and wait……………..no ends!!!!!👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎,2023-07-21 23:56:46,-1
1,Glitch? : I cannot open the app at all even after updates it keeps telling something went wrong.,2023-11-15 11:32:12,-1
1,gloomy UI and poor interest rate : increase so much just to make us open account then now int rate worst than t bills. UI also so dark. not much use case except earn risk free rate. grab is expensive,2023-09-19 01:56:43,-1
1,Horrible app! DO NOT USE! : DO NOT USE THIS APP!!!! So frustrating on this app. 3 times I tried to move a small portion of money out of my pocket. 3 times the pocket becomes $0 straight away and I can’t move/transfer my money out!!!!!!!!!!!!!,2023-09-25 13:13:58,-1
1,Unreliable & Untrustworthy : Gave an application to open account but the bank decided to cancel opening new accounts and the “bank” didnt even bother to inform clients! May be its a gods sign to save my money.,2023-07-27 17:29:44,-1
1,Unusable App : App keeps giving me “something went wrong” and “it’s not you it’s us” notification whenever I attempt to log-in. Totally unusually at this time of writing.,2023-05-02 10:56:52,-1
4,quick fix : could you add a way to sign in using singpass password instead of only having to use the app?,2023-02-11 06:45:17,1
5,Good product provided : Gxs provide good interest for their pocket savings.,2023-12-06 03:56:06,1
1,Best UI/UX?!?!? Come on… : Not prepared? Then don’t launch. See your direct competitor got a pure breeze of experience. Onboarding was swift and fast. Just think the reviews here are just made by the staff lol focusing on UI/UX what a joke. Best UI/UX where others cannot experience YET.,2022-10-09 03:24:14,-1
1,Open bank account one year? : Apply one year ago..say when slots open up will let me know ..efficient bank sureee,2024-03-15 17:03:19,-1
1,Fake 5* : When you asked your staff to write a 5* review don’t just get them to write great app easy to use or hurray. Write how did the app help you how you benefit from the app and why the app is soooo good?,2024-01-18 08:45:46,-1
5,Lovely. : Love the modern design user experience was great as well.,2022-12-14 09:36:34,1
1,Disappointed only for Singaporean : Pls improve your good service for any person who are really need ithope the app can improve soon,2023-07-22 08:18:56,-1
5,Great service : Efficient,2023-07-18 19:22:58,1
5,Excellent Interface : A whole new era of banking. Go GXS or go home! 💪🏼,2022-10-03 04:57:18,1
5,Love it : Great UI and user-friendly,2022-12-09 01:34:39,1
1,Rubbish : Sent me texts and email to tell me I am selected for flexi loan . But non is approved . Said borrow from $200 and above but can’t even borrow $200 😂 rejected all of my friend and family members . So who can borrow ? Millionaire ?,2023-05-24 13:59:56,-1
5,GXS : Fair and transparent loans.Interest is not like the atypical bank that is out to profit and cripple the debtor.,2023-12-10 04:26:02,1
1,Pathetic and useless app : Keep creating account to write fake 5 star reviews when your app is so buggy and processing time is so slow. Worst banking app ever!,2023-11-10 15:26:02,-1
1,Waste of time : Useless lacks features and does not provide any improvement from traditional banks available in Singapore,2023-07-27 05:20:02,-1
1,Lowered interest : Reduced interest from 3.48 to 2.68% in less than a month kenna baited to start an account here. Have removed all my funds and closed my account.,2023-08-08 06:46:48,-1
5,Thank you : THIS LITERALLY SAVED ME i recommendation is high as the giant touches the sky,2023-11-25 12:17:15,1
1,No use : When I sign up can’t sign up always say oops something went wrong please try again,2023-11-23 09:53:53,-1
5,Easy : Good to use,2024-01-01 09:24:31,1
5,Fast approval flexi loan : Great plat form … easy to use and hassle free.,2023-06-05 10:21:00,1
5,good job on this company : reliable and quick response,2023-11-10 06:44:02,1
3,Can’t login : Can’t login after applying?????????,2023-05-04 09:39:02,-1
5,Attractive Interest Rates : Pockets are unique and useful,2023-07-20 13:20:09,1
5,Love the pockets : Good interest rate on pockets and great user experience.,2022-10-03 07:18:03,1
5,Awesome app! 🙌 : Love the savings pockets and daily interest!,2022-10-03 05:34:14,1
5,That description tho : Did an intern write that script? Nice.,2022-12-28 14:59:22,1
5,Gxs Savings Account : Nice And Fast Bank,2023-12-06 08:35:24,1
1,Just not there!! : Best get back to the drawing board. Design thinking  forget about the  many “dumb” users out there including me.,2022-09-06 23:39:37,-1
1,Can’t Access After Update : What if I urgently need access to my money? This is not the way to go.🤬,2023-01-24 13:43:09,-1
1,App currently nothing more than a lead generator : Deleted the app. Sick of it serving no other purpose currently than being a lead generator.,2022-12-09 06:35:51,-1
5,App usage : Awesome easy n fun to use! 😊,2022-09-22 02:01:38,1
1,Access to funds blocked : Access to funds blocked no transparency apart from it being a recognized technical issue no ETA and no communications from Grab or Singtel.,2023-01-20 05:03:23,-1
5,great app : app is really easy to navigate user-friendly,2022-12-07 07:51:10,1
1,Unable to sign in : Unable to sign in to account,2023-07-24 09:21:23,-1
5,earn it everyday : save ur money and grow,2023-12-07 13:07:57,1
5,Nice App : Good to use,2023-12-06 04:22:42,1
5,GXS App review: : Great features! Love it!,2022-12-30 00:52:29,1
1,Can’t save a payee : Lack the basic function to save a payee,2023-08-07 13:41:20,-1
1,Why reduce interest rates after 3 weeks! : Does not make sense.,2023-09-21 13:04:04,-1
1,Unresponsive app : I cannot login since december not safe,2024-04-13 03:27:22,-1
1,not open to everyone only few can join gxs : useless app.  unable to join or open accountapp is not open to all in sg,2023-11-02 06:38:15,-1
4,Good : Good app,2023-11-10 06:48:41,1
3,Ok : Is this really an authentic app for GXS? Looks cheap.,2024-01-15 14:04:23,-1
5,aapps : Hassle free,2024-04-07 19:18:05,1
1,savings pockets interest rates reduced : first bank to reduce interest rates for savings but interest rates for loans stay high,2023-08-07 10:44:08,-1
5,Cool : Love the app,2023-06-05 10:57:26,1
5,Good : Good,2023-11-15 07:36:00,1
5,👍🏼 : = x o,2022-09-22 01:51:42,1
1,use maribank la : heheh,2024-03-07 07:24:52,-1
1,Only for PR And SP : Only for PR and SP,2023-07-18 03:44:25,-1
5,Wow : Wow,2023-09-29 13:18:27,1
5,🚀🚀🚀🚀🚀 : 🚀🚀🚀🚀🚀,2022-09-16 18:40:11,1
1,Scan and pay amount wrong : I was trying to make payment using Paynow Qr code using scan and pay. Merchant create a dynamic QR code of payment $15.7 but the GXS app scan and pay read in as $15.07Pls advice to correct the mistake as it make me and merchant very inconvenience.,2023-07-24 03:31:10,-1
1,Bug ! Bug ! Bug ! : 安全漏洞！下载要小心！即使用SingPass 开户也一样不安全！Bug 导致无法通过！,2023-07-22 01:33:39,-1
1,SingPass QR Code not working : 21 Jul 23:The integration on iPad is off. The first time login requires SingPass as a safety feature but it doesn’t generate a QR Code. Devs should consider a workaround. Pending dev feedback before rating change.,2023-07-20 23:27:11,-1
5,Face ID and OTP issues : The OTP to create a new billing payee was sent to my email account? Why the sudden change? Furthermore when I get out of the app to retrieve the OTP and get back to the app by switching (I did not turn off the app) the whole app reset and I had to recreate from the beginning when I switched back the “window” on my iOS. Does that mean I now need more than one device to create a new billing organisation payee? Why the huge inconvenience? If I’m outside and have only my phone how can I create a billing organisation payee easily? The Face ID issue was only resolved after I reset the app and had to change my settings back to enable Face ID. Most likely this issue occurred when the app was updated but this is the first time. Not sure what has happened to the quality control and processes that were in place before. Things are not as clear as before.,2020-03-01 04:14:38,1
5,Easy to use & simple to understand : I find that the POSB digibank app is very easy to use and that everything is pretty simple for us users & consumers to understand. Only problem that I feel needs improvement is the duration of how long y'all take to maintain the app as we users sometimes are promised a fixed timing whereby we can resume using the app but when we are on the main page of the app it indicates that the maintenance still isn't over and that causes a lot of problems as we cannot complete let's say an important transaction that is really urgent and needs to be done as soon as possible. Other than that I don't think there's any other issues regarding the app. As a whole a great app and a very useful platform for users & consumers.,2021-12-23 20:47:02,1
5,The best digital banking app in Singapore! : I absolutely love the POSB Digibank app! It has made managing my finances so much easier and convenient. The user interface is clean and intuitive and I can easily view my account balances and transaction history. The app also has a lot of useful features such as the ability to transfer money to other accounts and pay bills. I particularly like the fact that I can set up custom notifications to stay on top of my spending. Overall I highly recommend the POSB Digibank app to anyone who wants a simple and effective way to manage their money.,2022-12-12 02:43:20,1
4,Accessing digital token when logged in. : Well introducing digital token is a great move and I like the fact I can use it without entering otp and that it is a seamless way to make payments. There is one caveat tho - The way the app allows you to access the digital token. Well u can access the token via the splash screen when u on the app. Great! But upon login the digital token is not accessible or not that I know of after using this feature for almost a year. I find myself in a situation where I have to log out or force close the app and reopening it to access the digital token.  Sometimes I need to make sure I have funds before I want to make payment but I can’t get the app to either automatically respond to the payment I’m trying to make and there is no way to access digital token when login inside. Hopefully something can be made to resolve this.,2020-11-09 01:44:36,1
4,Payment Controls Monthly Spend Tracking : Under Payment Controls > Monthly Spend Limit there is a Current Spend tracking. However as I was told by CSO that this Current Spend follows a monthly cycle that starts on the day that Monthly Spend Limit is toggled on. Let’s say I toggled on the Limit on 13 Feb this will trigger the Current Spend to start tracking spending from 13 Feb - 12 Mar. Over time I tend not to remember this cycle (when it starts and ends) and the entire spend tracking is rendered meaningless. Wonder if change Limit midway will it also change the tracking cycle? Hope to see a spend tracking based on calendar month controlled by monthly spend limit.,2024-02-13 11:05:23,1
5,Best bank app in Sg : POSB digibank app is the best banking app in Singapore I’ve used. I have all 3 major bank apps and a few other banks app. Digibank is fast clear and easy to use. Unlike other banking apps there is no lag when moving from 1 screen to another 👍🏼I wish the bank can lead other banks in savings & fixed deposits rates too 😅 There are areas the bank can do better which I will not mention here as it’s not directly related to the app.,2021-09-22 01:43:13,1
1,Bank app causes phone to get very hot within 1min of use : When I start up the app on my new iPhone 12 which I got in Jan 2021 it causes the phone to get very hot within 1 min. The problem became worse when I upgraded to iOS 14.4. After using the bank app my phone functions will fail (eg I can’t open apps can’t download mails can’t sync to iCloud). Upgrading to iOS 14.4.1 did not help either. I have to restart my phone every time these issues occur. The issue recurs again when I use the bank app. It is unsustainable to keep restarting the phone every time I use the bank app. Given how essential a bank app is (now that the app acts as the digital token and physical tokens are phased out by the bank) I hope that both Apple’s and DBS’ teams can work together to resolve this issue.,2021-03-30 13:52:10,-1
1,Violates App Store policies : This DBS/POSB banking app blatantly misuses push notification access for the purpose of advertising. App Store policy: 4.5.4 Push Notifications must not be required for the app to function and should not be used to send sensitive personal or confidential information. Push Notifications should not be used for promotions or direct marketing purposes unless customers have explicitly opted in to receive them via consent language displayed in your app’s UI and you provide a method in your app for a user to opt out from receiving such messages. Abuse of these services may result in revocation of your privileges.This is a word-for-word popup from the app: With app (push) notifications never miss: 1. Offers you wish you knew sooner 2. Protips to spend wisely 3. Smart insights meant for you. On a banking app I would definitely want push notifications for security purposes such as transactions and login or Digital 2FA token notifications. However I can only either accept the marketing spam (promos etc) or not have these important notifications at all.,2023-11-26 05:37:52,-1
3,Connection : I’m unable to login when I’m on mobile data even after clearing of cache or restart of the iPhone. When attempting to login it will cause data cut to the other apps too; unless I kill all the apps and switching on/off the airplane mode to re-established a connection with the mobile service. Sometimes almost never i can log in but! as i tap on any of my account it will throw an error message saying “your system encountered a momentary Technical difficulty...” the same error as logging in or any of the area in the app. It will only work fine on wireless connection. Of course I’m in an open area full coverage of 4G and even tried using it during midday afternoon or super late in the midnight. Same result even no peak hour traffic. So i still think its the app. Because i can do every mobile data related to every other app but yours. I hope the development team can take a look into this because its causing a lot of inconveniences.,2021-01-29 12:33:59,-1
2,Fix the terrible performance : Every single update says “performance improvements” but every single time I open the app my phone gets hot and the battery starts going down about 1% per minute. Are POSB mining Bitcoin on our phones?Because of this I use the app as little as possible. But giving more than 1 star since it’s still better than UOB’s app.It would be more usable if we could give nicknames to bill payments I have 2 accounts with M1 but POSB only lets me identify them by the 9 digit account number so I need to try to remember which is which every time I need to make a manual payment.,2021-09-22 03:32:25,-1
5,Posb digibank app lately- not stable : Of late the posb digibank is not stable. It hanged and took a very long time to open. This started last wk and today as well. I had to delete app and reinstalled to get it working.  After reinstalling it worked for awhile and then the same problem happens again like today. This is so disappointing and I wonder what happened. Please check thank you,2021-01-11 01:22:11,1
1,App affects mobile connection : An app that affects phone mobile connection when used. Mobile connection will stop working when app is used. It will start to connect when app is started and after a while the app will stop responding saying there is an issue with internet connection. Only then user will find the rest of the apps will also stop working as there is no internet connection from the phone.  Workaround is to enable airplane mode and disable it again to bring back the connection. A simple transaction will sometimes require a few of such actions before it can be completed. Really lousy experience.,2022-09-11 03:58:25,-1
4,Love this app and if u don’t have it get it now!! : Best banking app ever so easy to use once you learn to navigate.Quick so I can transfer money smoothly without any issues. Honestly a fantastic app and now it’s come with more enhanced features which make me more knowledgeable about my spending and earnings habits. Thank you the great app which makes life easier especially with banking. Financial health is important to look after to and this app makes it easy with detailed functions and also gives me an overview of everything.,2020-07-23 19:52:23,1
4,Good app best in the market in terms of functionality. But one basic feature lacking : This is by far the best banking app on the market. The ability to view all my assets and liabilities in one place is very useful. Suffice to say I’ve started investing in DBS’ funds offerings just to keep everything in one place and easily tracked. One major gripe I have with DBS is that the cards spend is not immediately reflected in card’s balance. If you refer to other banking apps 1 -2 days after making a purchase on the credit card immediately you’ll find the outstanding balance (not to be confused with statement balance) on the app. Which makes for easy tracking. This is the main reason why I’ve used UOB or Amex rather than DBS credit cards. I can’t track my monthly expenditure on a go with ease. Perhaps the team should really look into unlocking this feature.,2020-07-21 00:58:27,1
4,To view multiple Accounts : I used to see all my deposit accounts credit cards accounts in one page but not anymore. Every time I finished doing one transaction & I have to go to the home page click the down arrow to list all the accounts & view a specify account & back to home page & repeat this step all over again is not user friendly for this part overall experience in other transaction via this app are very fast & simple to use.,2020-07-19 03:46:02,1
3,Issues with adding apple pay on apple watch : I encountered issues with adding my POSB debit card for apple pay on apple watch. My other back debit card was successfully set up though and I only have 2 cards to add. The messages either show: 1 - Could not add card/Card not added. Contact your card issuer for more information; OR 2 - Apple Pay is unavailable. Try again later. I did reset both my iPhone and apple watch then logged in again but still have the same issues.,2021-06-04 02:07:46,-1
4,No option to delete / clear option for Notifications : There has no option to delete/clear option for Notifications after read. It will be much  better able to delte all the notifications which are just for info. Appreciate your immediate attention and add the option to delete in the next update. Thanks.,2023-06-27 00:29:57,1
2,Buggy app a shadow of its former self. : I used to love this app really enjoyed how seamless banking became with it. However it appears as though this app is on a decline. 1. Enable FaceID but it does not work! I still need to enter my PIN to log in. 2. After entering my PIN I receive an error message “This service isn’t available now...” and I’ll need to restart the app multiple times before I’m able to log in. 3. Repeatedly asks me to set up my digital token even though I did it ages ago. 4. Where is the Comment box for transfers? It is useful as I can inform the other party what the transfer is for.5. Sometimes I’m only able to make a transfer once. Attempting a 2nd transfer will result in the above mentioned error message.This app used to make my banking a breeze these days I get frustrated while using it. I’ve tried contacting POSB via their website to leave a feedback but I’m unable to find an avenue to do so.,2020-09-16 00:52:51,-1
1,Service Not Available poping up : When trying to login keep poping up Service Not Available. This service issue turned paynow and cashless payment into a hell of a problem. Can’t login meaning all transaction cannot be done. I have to relied on carrying lots of cash again.  Am an IPhone 14 user. I checked below review and I’m not the only one experiencing this issue. Have to keep refresh the app and at times cannot login means cannot login. I have checked on Wifi/5G/4G and phone is pretty new and experienced this issue island wide. Confirmed is app issue that’s been persistence for more than 2 weeks.,2023-06-28 16:39:36,-1
4,Great. Could be better : I like the budgeting feature. I ‘almost’ not using spreadsheet anymore.It could be improved if when setting up monthly budget I could also see how much I have budgeted on all categories so I can compare it with my income for the month and make sure I don’t budget too much. This is a no brainer. I ended up setting up my budget first on a spreadsheet  then copying the values to the app.,2022-07-19 03:16:07,1
5,Efficient and hassle free apps : This app gets all the major tasks that we need for our day to day business with banking done quite efficiently. There is no lag and no crash for me this far. However with issues like me wanting to know about the refinancing eligibility and other administrative matters relating to my loan I hope this app could provide recourse to those options as well.,2020-04-21 01:28:30,1
1,Worst worst app EVER : WHY do I have to log in at least 5 times before the app doesn’t prompt me that I’ve been logged out due to security purposes??? LIKE I’m in an urgent to transfer money from MY OWN ACCOUNT TO MY OWN ACCOUNT or I want to check the details of my previous transactions and ITS IMPOSSIBLE. This is so tiring come on you want to be the biggest bank in SEA but the app you make works terrible probably the most annoying app on my phone right now. Hate this so much and I hate the fact that I can’t change banks right now. Don’t worry I’ll change my bank immediately when I get the chance.,2021-11-10 06:41:52,-1
