,replyContent,score,content,thumbsUpCount,date,sentiment,keywords,generatedReply
18,"Hi Anna. We're over the moon to hear your positive feedback about our GXS Savings Account, specifically the Saving Pockets! It's always fantastic to know we're hitting the mark. We're constantly working on improving our services and your feedback is a valuable part of that process. Thank you for your support! 😊💜",4,"Love the function of having multiple pockets as it helps me to track each target accordingly. Thank you for the genius allocation! Would have given 4.5 if there was, with the 0.5 hoping for unlimited numbers of pockets. :"")",0,2024-03-06 12:14:17,POSITIVE,multiple pockets," Hi Ben, Hi! We hope you appreciate the great work your feedback has created over the past few weeks. We're working hard to improve our experience and continue to offer better, personalized support to customers' issues. Please go to our help desk immediately and reach out to us via email, tweet, or voicemail. Reply: Thanks for your time and we'll be glad to help! 🙏 😳💜🙏🙏 🚀 🔘🙏🚀 💜🚀 💔👿 🚁🌈🌈🔒 💟 🏼💫🚫🍗 💽👯 🗜 🩜 💙 🗐 🛃💙 💰💰 🙅 ❤️ ❤️ 👀 🤅 ❤️ This update was delivered within three"
19,"Hi Jia Hong! We are happy that you like our app! This 5-star review made our day! 💜 We are thrilled to hear that you find our app easy to use and that you like the short-term loan feature! We're constantly working on new and exciting features, and we can't wait for you to try them out in the future.😍🚀",5,Quick transfers to bank acc and fast repayments. Very suitable for short term loans,0,2024-03-06 09:39:11,POSITIVE,fast repayments, Hi Chris. Thanks for your reply. Do you like your app? We appreciate your interest. Please email our app developers & team@gxs.com with questions or suggestions. 💜 We'd love to answer them quickly! 💜 Share your thoughts on Twitter and share via our GXS App Store. 🙏 Share your views in the comments section below. Or hit us up at gxs.com
20,"Hi EE, that's a fantastic suggestion and it's been captured as part of future enhancements! 🙌 We have been busy working on new and exciting stuff, and we can't wait for you to try them out in the future. 🚀",3,"A feature they should implement is to save your recipients which you FAST to, makes it a lot safer as it prevents mistaken sending of funds to unintended recipients after the 1st transfer.",12,2024-03-04 12:23:26,NEGATIVE,recipients fast," Sorry for the inconvenience. The feature for saving your credit details is currently unavailable as we need to receive feedback here ASAP. We apologize for any inconvenience. Thank you for your patience and understanding. Thank you for your ongoing support. :) 🙏💜 We are ready to assist you in the next step! 🙏💜 #iDrain 🚀 Thank you to everyone 🙏🃏‍♪ https://t.co/7RZkhFq9VLn @YiGizmo 🙏💜 We really appreciate the support you've shown over the past 2 days. So far we're truly thankful for all your patience, feedback & kindness ❤🤏 We would love to hear about future updates and feature suggestions! 🙏💜"
21,Hi Baggio! Thank you for your 5-star review. 💜 We are thrilled to know that you like the app. 😍,5,Ok Good system.,0,2024-03-01 17:52:59,POSITIVE,ok good," Hi Joe, thanks for contacting us today! Would you mind offering us your contact information? If so, please let us know so we can help."
22,Hi Velan! Thank you for your positive feedback and review. Rest assured we're continuously working hard on improving our product offerings and our GXS app. Feel free to reach out to us via email at help@gxs.com.sg or call at (+65) 3105 2055 if you have other suggestions. Thank you for your support! 🙏😊💜,3,good 👍,0,2024-02-24 13:22:26,POSITIVE,good," Hello @bankingbank_n, welcome to our weekly episode of 💜. In this episode,"
23,"Hi Yusri, we're sorry to hear this. To better address your concerns and provide further assistance, feel free to reach out to us at our 24x7 hotline at (+65) 3105 2055. We will be happy to help.💜
",1,Can not open,0,2024-02-24 11:52:03,NEGATIVE,open," Hi Alex.. Great app. Thanks for your visit, we're sorry your account is unable to be renewed. You can contact our customer service"
24,"Hi Aaro, thank you for your interest in our services. The FlexiLoan service is available only to Singaporeans and Singaporean PRs at this moment. There are no available slots for the Savings Account currently, but you may register your interest so we can notify you to come apply when slots are available.",1,Hi any chance for foreign to apply? Im work at sg,0,2024-02-18 20:20:44,NEGATIVE,foreign apply," Hi everyone, Happy to learn that our app has come to life and are ready to launch. Thank you for your interest in our app as we strive to meet our potential!🎾🏻 We are excited to see the app become a reality and we'll be"
25,"Hi Sky, we're sorry to hear this. To address your concerns and provide further assistance, please do not hesitate to call our 24x7 hotline at (+65) 3105 2055. We will be happy to help. Thank you 🙏",1,"Really really damm time wasting, if not ready for sign up don't launch. Close down and don't let people wait for you, uninstalling now. Trust Bank is much better, CRAB!",2,2024-02-14 17:10:02,NEGATIVE,uninstalling trust," Hi David. We apologize for your disappointment in the review of our app. We plan to work with you to be able to get back to you with a complete review of the app and the issues you have. The best part is, you won't see the reviews from now on. We're hoping to quickly get back to you and get back to you with a new review and the solution to our issues — make a call! 🤔 Thanks as always, 🙏🏜🏖😂🔥🙏🙏🏔 (@btc_review).

🩟 Our review has been closed! 🙏💥💥🔥"
26,"Hey Faizal, we're stoked to know that you like our app! 💜 Thanks for the 5-star review! 🤩",5,🥰🥰🥰,0,2024-02-09 12:20:07,POSITIVE,, Hi Biz! How can I help you in a hurry?
27,"Hey, Nad! Thanks for your kind words! Reviews and feedbacks like these are what keeps us going for our customers. 😉 You have our word that we’ll continue to introduce more features and will always strive to continuously improve our services!

If you need any help, feel free to reach out to us. We’ll be more than happy to assist you!",5,"Been using this bank for a while now and didn't face any major problems. What I enjoyed the most is the saving pockets area where we could create different pockets for each saving we want to do and even add goals into it. The 2.68% per annum is added daily (0.01) as long as you have a minimum of 150 in your savings. If not, you'll have to wait till your it accumulates up to 0.01 to be added. There was also cashback when you make payment using the card which I didn't know till recently.",0,2024-02-08 01:52:38,POSITIVE,using bank, I tried to call you. Thank you for your interest in the phone call and we appreciate it 😃🙏🎉🙏🎉🙏🎉🙏🎉🙏🎉🙏🎉🙏🎉🙏🎉🙏🎉🙏🎉🙏🎉
28,Hi Jas! Thank you for your positive feedback and review. Rest assured we're continuously working hard on improving our product offerings. We have forwarded your feedback to our team. Feel free to reach out to us via email at help@gxs.com.sg or call at (+65) 3105 2055 if you have other suggestions. Thank you for your support! 🙏😊💜,4,"Great app that can park your savings using pockets, but hopefully the interest rate of the savings pockets will increase due to the current economic conditions",1,2024-01-26 14:43:30,POSITIVE,savings pockets," Okay! Well in your best interest I would like to review this app. Thank you for using this app! 🙏 We're sorry to hear your feedback! We are working with S1 Bank to introduce better rates for your account. It will be up to you to reach us at (+65) 3108 2055 if you're interested in a quick consultation: www.s1bank.sg/help For more information about our review process, please visit: https://support.sankanc.com.sg/en-us/article?id=16496828 Our team will be happy to help you out! 🐆🚀❤ 🚒 https://t.co/YjXVd7"
29,"Hi Benjamin. We're sorry to hear this. We love to sort this issue quickly for you. Please get in touch with us at help@gxs.com.sg with a screenshot of the error, along with your contact details. Or call us at (+65) 3105 2055. We’ll be happy to help. Thank you.🙏",1,"Unable to login or use the forgot password function. System only replied with ""something wrong please try again later"" Now I was told I must wait for the next version of app to be rolled out progressively before I can login. Hopefully won't take too long",4,2024-01-25 21:30:51,NEGATIVE,unable login," Hi I am happy to hear that our app does work! We will make sure we're 100% happy on our side of the app! 🙏 We will make sure there will be a full refund from the point of download so you still get a new version of the app to use in the future. 🤃 We have an amazing app, we'll be happy to be able to send it back to you if we can! 🙏 🚀 🚰 👏 Thank you 🙏 👏 :) 🠀 👊 ✉ Thank you for your feedback 🙏 #G+ 💩 🙏😯 🙏 ✊ 💪 🚀 ✊ Thank you for your interest 🙏💩 👋 Thank you so very much! 😀 #G+ #G- We really appreciate it and keep checking the app. 🙏🐜🤙�🤔 💩🤚🚩🏜💩 ✊🏼 Thank you for considering our app"
30,Hey Adha! We appreciate your 5 stars review. This made our day! Thanks for taking the time to leave your feedback. 🚀💜,5,👍👍👍👍,0,2024-01-16 00:47:46,POSITIVE,, Thanks 👏! 💜💜 💜😂
31,"Hey, Iqbal! We are GXS Bank, currently for Singapore-based users. If you have any feedback, do get in touch with us at help@gxs.com.sg or call us at (+65) 3105 2055. As for GXBank-related queries, you may visit their site and reach out to them directly. 🙏",1,"Sorry to have said this, why not this gxbank through by gxbank for worldwide",0,2024-01-14 21:58:33,NEGATIVE,gxbank worldwide," We'll see! 🙏🏼 This way you'll have a better chance to use our payments app with other mobile and desktop banking apps 🙏😉🚀💈 Reply: What?!? Why do you think I asked for it? If you're already a frequent user and want to have more access to the app and take advantage, please"
32,"Hi Tony, thank you for your feedback! Just to share, your device is required to be passcode protected to ensure the safety of your account. 🔐 You will be able to access to app once your device is passcode protected to apply for our products and services! 💜",5,I don't set. A password in my phone n not allow me to down load this apps,0,2024-01-12 23:34:50,POSITIVE,load apps," You're right, we are in need of more app security updates, which is fine. Let us know your thoughts in the comments below. We'd love to hear from you. 🙏 Send your feedback to support@gxs.com.sg."
33,"Hi Wei Jie! We love your enthusiasm! All GXS Savings Account slots have been taken up for now. We’re working to open new slots as soon as possible. For early access to new slots, register via the GXS app. While you’re here, have you checked out the GXS FlexiLoan yet? We appreciate your patience and can't wait to have you onboard with us! 🚀",2,When to sign up for the account in last year august. 5 months has pass still waiting. Please help to solve the issue.,0,2024-01-11 02:37:31,NEGATIVE,months pass," Hi, Our team here in Tokyo is aware of a pending feature of Mt. Gox, the company behind the ""GXS services."" We're investigating the issue, and hope to get into further details shortly. We have been working hard to assist by offering our customers the best experience possible."" (Source: Mt. Gox.) We are grateful for your patience and understanding. Please share your thoughts and feedback with us via our social services so we can improve the experience for all of you.


Bitcoin exchange Mt. Gox has"
34,"Hi Sairuldin! We're sorry to hear this. Could you get in touch with us at help@gxs.com.sg with a screenshot of the error, along with your contact details. Or call us at (+65) 3105 2055. We’ll be happy to help.🙏
",1,Why i cannot login?.,1,2024-01-10 01:22:47,NEGATIVE,login," Hi Sean, appreciate if you can answer your questions for us. Please allow up to 24hrs from now to answer our personal request. For questions and suggestions,"
35,Hey Najmul! We appreciate your 5 stars review. 💜 We are thrilled to know that you like the app easy and user-friendly user interface. Thanks for taking the time to leave your feedback. We strive to serve you better! 🚀,5,Very good app,0,2024-01-08 03:11:24,POSITIVE,good app," Hi Eric! If you want to know how we should spend our money, this is how it works:

Send us your transaction fees ("
36,"Hi there. This is not the experience that we’d want you to have. We’d be happy to resolve this issue for you! Kindly contact our hotline at (+65) 3105 2055 or drop us an email at help@gxs.com.sg with your contact info, device model, and a screenshot of your issue so we can take a closer look into this. Thank you.🙏",1,I'm stuck on the singpass page without being able to proceed. All is updated to latest ver.,0,2023-12-30 18:08:20,NEGATIVE,stuck singpass, Hi there! Sorry for having issues! Stay tuned to get notified when this comes up! 🎉 Good luck in your future endeavors! 🙏 💜 💜 💜 🙏 💜 💜 💜 🙏🙏 🙏🙏🙏!!! 💜 #bank #starbucks 💜 💜 💜 💜
37,Hi WJ! Thank you for your 5 stars review! We have forwarded your feedback to our team. We're continuously working hard to add more features to make your experience better. Thank you for your understanding and support! Have a great day and happy new year! 🙏🤩💜,5,Love GxS bank. Would it be available on Google Pay as well? 😉,0,2023-12-30 14:09:20,POSITIVE,gxs bank, We've had a busy week so far to review GxS products! Hopefully you can join in on the fun :) 💜 🦄 🚉 🚔 #GXS #Mesa #GXS 🐤 🚚� 🚦 🙏 �
38,"Hey Quekyeong, sorry to hear that! Please get in touch with us at help@gxs.com.sg with your contact details, or call us at (+65) 3105 2055. We'll be happy to assist it.🙏",1,Cannot sig up,2,2023-12-28 16:09:13,NEGATIVE,sig," Hi Kool! When the app goes live, do you want to get your bank account notified so we'll be alerted to your problems ASAP?!"
39,"Hey Chester, sorry to hear that! Please get in touch with us at help@gxs.com.sg with your contact details or call us at (+65) 3105 2055. We’d be happy to look into this for you. 🙏",3,Occasionally getting unable to login error.,0,2023-12-26 15:05:50,NEGATIVE,unable login, Hey guys! Hope your experience is helping. Please get in touch with us directly at support@bankingapp.com for help or through the issue tracker. 🙏 (try this out!) 💜 Have a look at our new app update regularly so that you
40,"Hey Jahid! Thank you for your review. If you have any concerns or need assistance, feel free to reach out to us via our 24/7 hotline at (+65) 3105 2055. We’ll be happy to assist you! 💜",2,Well done,0,2023-12-23 07:47:44,POSITIVE,, Excellent app is up and running. Just downloaded the app. 🙏🏽! 🚀💜�
41,"Hi Mike! We're sorry to hear about your experience. We're continuously working hard on improving our product offerings. We love to help you resolve the app issue quickly. Kindly drop us an email at help@gxs.com.sg with your contact info, device model, and a screenshot of your issue so we can take a closer look into this. Have a great day! 😊🙏",1,"Buggy app, bad interest rate",2,2023-12-22 10:24:44,NEGATIVE,buggy app," Thank you for this review. Although, we appreciate your feedback. We appreciate any suggestions to improve our app and make better use of your feedback. Please don't hesitate to contact us through our contact form"
42,Hi there! We are sorry to hear that you are having difficulty transferring your funds. We’d be happy to resolve this issue for you! Kindly contact our hotline at (+65) 3105 2055 or drop us an email at help@gxs.com.sg. 🙏,1,I am unable to log in today when i could yesterday. I cant transfer my money out to use. There is no alternative like physical counter or website so my money is stuck when i urgently need my money.,1,2023-12-21 11:23:03,NEGATIVE,money stuck," Hi Andrew Hi Andrew,

So glad to hear from you! What kind of payment options do you offer for money withdrawal from your bank or banking app? How long we'll be accepting your request? 🤔 We already know it's an issue but now it's time to tackle it head on. Thanks for your understanding and positive feedback! ♥♥♥ Happy holidays and happy to be here in Ottawa 🙏 💜🏻 🙏🏉 :) 🙏🏜 💚 💅 We'll be looking into this ASAP so feel free to contact our staff directly at 613-736-4100 @canadianshop.sg, via our hotline at 1+1 (0) 723 3444 or via email at support@canadianshop.com.sg. Also follow"
43,"Hi Aza, we are sorry to hear that you are having difficulty accessing the app. We have enhanced our anti-malware protection and customers will not be able to access the app if there is detection of security vulnerabilities in their device. Please call our hotline so we can assist you better.",1,What a nonsense app is this??download but say got malware in my hp?and ask me to fix my app?wth?,3,2023-12-19 00:39:21,NEGATIVE,malware hp," Hi Alex and thanks for your interest. We appreciate your enthusiasm in making our app a success and are looking forward into a collaboration. Your app is completely safe and secure and we're constantly striving to improve with every new update, so if you see any issues, use this address to contact our support team via WhatsApp at (+65) 3105 4100 or WhatsApp (+65) 1667 1530 & make a note of the issue. We"
44,Hi Emirul! We appreciate your 5 stars review. 💜We're glad our GXS app is easy to use and we work hard to meet expectations like yours! 🤩,5,Easy and fast app,0,2023-12-18 22:38:27,POSITIVE,fast app," Hi Siwio :) We've just launched a full review for the new feature, and a feedback from the perspective of the bank. We'd love to hear"
45,Hey Diana! We'd love to look into this. Please feel free to get in touch with us through our 24/7 hotline at (+65) 3105 2055 or drop us an email at help@gxs.com.sg with your contact number so we can reach out to you promptly. 🙏,1,could not open my gxs app,0,2023-12-18 19:13:13,NEGATIVE,open gxs, Hello all! 🙏 Thank you for your interest in our app! We are in the process of opening up our network to make our operations more flexible for you! The only issue
46,Hi Swee Seng! We’re sorry to make you feel that way! 🙁 We appreciate your valuable feedback and rest assured that it is an essential part of our continuous improvement process. Please do not hesitate to reach out to us at (+65) 3105 2055 or via our email at help@gxs.com.sg. 🚀,1,"Your phone cannot be used Lol, which part of my phone have been modified? Nvr root or anything This is something that should not even be released to the public when you can't even get device authentication working UPDATE: So they decided to just close my issue and deemed it as ""resolved"" when it isn't Dont ever use this pos software",6,2023-12-10 14:01:06,NEGATIVE,phone modified," We're sorry for this inconvenience. Stay tuned to our social channels for the latest updates and to let us know your experiences with our software. We have had issues with the phone being unable to use our settings tool, it seems that there are no better options. We'd love to hear about your experience with the app! 🙏🤔😊 ไนเบน💴 😉 🔙 🙏️ 🙏🏿 🚗💒� 🙏🙏 😈💔 🙏 #iSciLonely 🚫 🆗 😉🙏🏿 🚗💊🏿 🚗💊🏿 Hi, it's time for us to address the issue! Please let us know your thoughts via our social media channels. 🙏🤔 😍 Hang on🙏🏿!!! 🙊🏿🇟🇸🥚🙏👍🏿 — iTU Health (@ iTuLife) July 5, 2016


Thanks for your patience throughout the process. We apologise for any inconvenience this has caused. 🙏🴚 @itutustriller Please continue to send a quick reply through our app if you have"
47,"Hi there! Thank you for your review. If you have any concerns or need assistance, feel free to reach out to us via our 24/7 hotline at (+65) 3105 2055. We’ll be glad to help! 💜",1,Good,0,2023-12-10 10:23:04,POSITIVE,good," Hi Gizmos :) Hi Gizmos, we take great care in ensuring your privacy while on our platform"
48,"Hi Muhd Rashid thank you for your kind words, we are glad our services live up to your expectations.",5,Easy loan and easy payment with no hassle.,0,2023-12-10 03:41:24,POSITIVE,easy loan," Hi Jens. How is it going, how are we so happy with this experience for you? Thank you so much for your review! ### Reply: Thanks for your quick response and we're happy to hear it. Hope so. @jensb for"
49,"Hi Suvega! Thank you for your 5-star review! 🤩 We are thrilled to know that you're enjoying our daily interest crediting feature! 🚀 We appreciate you for taking the time to leave your feedback! 🙏
",5,Very good digital savings bank account that helps grow our funds.,1,2023-12-07 10:50:29,POSITIVE,digital savings," Hi! I want to thank you for your time, consideration and interest. We appreciate your help. We hope to see you soon! 🙏🏼 Help us continue to improve our feature and help you with your shopping experience. 🙏🏼 Thanks for your feedback! 👊 🙏🏼🐩�"
50,Hi Elias! We appreciate your 5 stars review. 💜 We are thrilled to know that you like the interest rate we offer for our account! 🤩 Thanks for taking the time to leave your feedback! We strive to serve you better! 🚀,5,Great savings rate!,0,2023-12-06 16:40:34,POSITIVE,great savings," Thank you for your patience and appreciate it quite greatly. So happy to hear we will soon be back into the running again. 🙁 Hi John, How can we"
51,"Hi Hamzah! Thank you for your wonderful feedback. This review made our day! We work hard to meet expectations like yours, and we’re happy to hear we hit the mark for you.🙏🤩💜",5,Loving it so far.,0,2023-12-06 16:35:35,POSITIVE,loving far," No problem, just want to try it out :)🙏😜😜💀😎💙🏭#Goodbye"
